ID,Owner,Name,Position,Start,End,Salary
12635,,Aaron Brown,RB,FA,2009,$1
12452,John,Aaron Curry,LB,2009,2011,$10
3684,Patrick,Aaron Kampman,DL/LB,2009,2011,$6
12456,Schexes,Aaron Maybin,LB,2009,2011,$10
8439,Koci,Aaron Rodgers,QB,2008,2010,$7
2594,,Aaron Schobel,DL,FA,2009,$1
1097,Patrick,Adam Vinatieri,K,2009,2009,$1
2868,James,Adewale Ogunleye,DL,2009,2011,$2
10452,Trevor,Adrian Peterson,RB,2009,2009,$320
10693,Keyon,Ahmad Bradshaw,RB,2009,2009,$32
10883,,Akeem Jordan,LB,FA,2009,$1
3543,Daniel,Albert Haynesworth,DL,2009,2009,$2
1638,Koci,Allen Rossum,DB,2009,2009,$11
11331,,Andre Caldwell,WR,FA,2009,$1
4461,James,Andre Johnson,WR,2008,2010,$156
4512,Schexes,Anquan Boldin,WR,2008,2010,$11
9639,Patrick,Anthony Fasano,TE,2009,2011,$4
10476,Daniel,Anthony Gonzalez,WR,2009,2009,$92
1775,Keyon,Antoine Winfield,DB,2009,2011,$1
3591,Koci,Antonio Bryant,WR,2009,2011,$38
5362,Daniel,Antonio Gates,TE,2009,2009,$97
5660,,Antonio Smith,DL,FA,2009,$1
8423,,Antrel Rolle,DB,FA,2009,$1
5582,,Antwan Odom,DL,FA,2009,$1
12447,Patrick,B.J. Raji,DL,FA,2009,$1
8450,Trevor,Barrett Ruud,LB,2009,2011,$5
12525,Luke,Beanie Wells,RB,2009,2011,$55
5536,Daniel,Ben Roethlisberger,QB,2009,2009,$61
5557,Trevor,Benjamin Watson,TE,2009,2009,$1
11754,Syed,BenJarvus Green-Ellis,RB,FA,2009,$1
5603,Koci,Bernard Berrian,WR,2008,2010,$4
12724,,Bernard Scott,RB,FA,2009,$1
8593,Luke,Bo Scaife,TE,2009,2009,$4
937,Trevor,Bobby Engram,WR,2009,2009,$1
4561,Schexes,Bradie James,LB,2009,2011,$9
10466,Keyon,Brady Quinn,QB,2008,2010,$3
8524,Trevor,Brandon Jacobs,RB,2008,2010,$47
9705,John,Brandon Marshall,WR,2008,2010,$23
12549,Patrick,Brandon Pettigrew,TE,2009,2011,$22
8418,Luke,Braylon Edwards,WR,2009,2009,$99
10605,,Brent Celek,TE,FA,2009,$1
112,Koci,Brett Favre,QB,2009,2009,$13
12453,John,Brian Cushing,LB,2009,2011,$7
12439,John,Brian Orakpo,DL,2009,2011,$13
3619,Luke,Brian Westbrook,RB,2009,2010,$107
11909,Schexes,Brian Witherspoon,DB,2009,2011,$1
4475,Daniel,Bryant Johnson,WR,FA,2009,$1
4465,,Byron Leftwich,QB,FA,2009,$1
8420,James,Cadillac Williams,RB,2009,2010,$8
10447,Schexes,Calvin Johnson,WR,2008,2010,$32
4476,,Calvin Pace,DL,FA,2009,$1
4459,Patrick,Carson Palmer,QB,2009,2011,$79
8419,Luke,Cedric Benson,RB,2009,2009,$41
11291,,Chad Henne,QB,FA,2009,$1
2584,Koci,Chad Ochocinco,WR,2009,2009,$79
2149,Daniel,Chad Pennington,QB,2009,2009,$10
10678,,Chansi Stuckey,WR,FA,2009,$1
4493,,Charles Tillman,DB,FA,2009,$1
1442,,Charles Woodson,DB,FA,2009,$1
11460,Koci,Chaz Schilens,WR,FA,2009,$1
3784,Daniel,Chester Taylor,RB,2009,2009,$30
9285,Koci,Chris Carr,DB,2009,2009,$5
2600,Schexes,Chris Chambers,WR,FA,2009,$5
5606,Schexes,Chris Cooley,TE,2008,2010,$24
5553,,Chris Gamble,DB,FA,2009,$1
8497,Luke,Chris Henry (CIN),WR,2009,2009,$1
3622,,Chris Hope,DB,FA,2009,$1
11258,Keyon,Chris Johnson,RB,2008,2010,$7
5551,Keyon,Chris Perry,RB,FA,2009,$2
11816,,Clifton Smith,RB,FA,2009,$1
3579,John,Clinton Portis,RB,2009,2009,$175
12449,Patrick,Connor Barwin,DL,2009,2011,$5
2670,Luke,Correll Buckhalter,RB,2009,2009,$9
9801,,Cortland Finnegan,DB,FA,2009,$1
5542,,D.J. Williams,LB,FA,2009,$1
4482,Trevor,Dallas Clark,TE,2009,2009,$67
9628,,Danieal Manning,DB,FA,2009,$1
10768,Syed,Danny Ware,RB,FA,2009,$1
10458,,Darrelle Revis,DB,FA,2009,$1
2164,,Darren Howard,DL,FA,2009,$1
11238,James,Darren McFadden,RB,2008,2010,$187
1203,,Darren Sharper,DB,FA,2009,$1
8544,Koci,Darren Sproles,RB,2009,2011,$118
12570,James,Darrius Heyward-Bey,WR,2009,2011,$14
1716,,David Akers,K,FA,2009,$1
12459,Luke,David Buehler,K,FA,2009,$1
3636,Syed,David Garrard,QB,2008,2010,$16
10491,,David Harris,LB,FA,2009,$1
11678,Koci,Davone Bess,WR,FA,2009,$1
9613,Keyon,DeAngelo Williams,RB,2009,2011,$145
8426,James,DeMarcus Ware,LB,2008,2010,$37
9619,,DeMeco Ryans,LB,FA,2009,$1
12557,Koci,Deon Butler,WR,2009,2011,$5
8627,,Derek Anderson,QB,FA,2009,$1
10692,,Derek Stanley,WR,FA,2009,$1
1263,Patrick,Derrick Mason,WR,2009,2009,$5
5760,Schexes,Derrick Ward,RB,2009,2011,$31
12602,Koci,Derrick Williams,WR,2009,2011,$1
11283,Schexes,DeSean Jackson,WR,2008,2010,$16
5575,,Devery Henderson,WR,FA,2009,$1
9643,Keyon,Devin Hester,WR,2009,2011,$40
11268,Koci,Devin Thomas,WR,FA,2009,$2
9716,Schexes,Domenik Hixon,WR,FA,2009,$12
12489,Schexes,Donald Brown,RB,2009,2011,$28
1966,Luke,Donald Driver,WR,2008,2010,$8
11267,Keyon,Donnie Avery,WR,2008,2010,$3
1753,Luke,Donovan McNabb,QB,2009,2010,$33
,Trevor,Drew Bennett,WR,FA,2009,$1
2580,Syed,Drew Brees,QB,2009,2010,$171
11264,Keyon,Dustin Keller,TE,2009,2011,$5
10467,James,Dwayne Bowe,WR,2009,2011,$90
3539,,Dwight Freeney,DL,FA,2009,$1
11304,Daniel,Earl Bennett,WR,2009,2009,$19
4950,Syed,Earnest Graham,RB,2009,2010,$8
11276,Patrick,Eddie Royal,WR,2008,2010,$13
1755,Trevor,Edgerrin James,RB,2009,2009,$2
5526,John,Eli Manning,QB,2008,2010,$24
8498,Schexes,Ellis Hobbs,DB,2008,2010,$16
9712,,Elvis Dumervil,DL,FA,2009,$1
5645,Daniel,Ernest Wilford,WR,FA,2009,$1
11256,James,Felix Jones,RB,2008,2009,$47
8479,Patrick,Frank Gore,RB,2008,2010,$184
10195,Schexes,Fred Jackson,RB,2009,2011,$1
1430,Syed,Fred Taylor,RB,2009,2009,$20
10449,Luke,Gaines Adams,DL,2009,2009,$9
11543,,Garrett Hartley,K,FA,2009,$1
10537,Daniel,Garrett Wolfe,RB,2008,2010,$2
5661,,Gibril Wilson,DB,FA,2009,$1
12491,Keyon,Glen Coffee,RB,2009,2011,$1
9495,Patrick,Greg Camarillo,WR,2009,2011,$1
1445,Schexes,Greg Ellis,DL,FA,2009,$1
9638,Keyon,Greg Jennings,WR,2008,2010,$36
10475,Luke,Greg Olsen,TE,2009,2011,$35
12586,Syed,Hakeem Nicks,WR,2009,2011,$28
8444,Luke,Heath Miller,TE,2009,2009,$11
1494,Schexes,Hines Ward,WR,2009,2009,$50
10180,,Hiram Eugene,DB,FA,2009,$1
8458,Syed,J.J. Arrington,RB,FA,2009,$1
10517,,Jacoby Jones,WR,FA,2009,$1
1693,Schexes,Jake Delhomme,QB,2009,2009,$5
11307,Trevor,Jamaal Charles,RB,2008,2010,$4
2136,Trevor,Jamal Lewis,RB,2009,2009,$80
10446,Koci,JaMarcus Russell,QB,2009,2011,$14
12493,Koci,James Davis,RB,2009,2011,$7
