ID,Owner,Name,Position,Start,End,Salary
13983,Trevor,A.J. Green,WR,2011,2013,$26
9591,,A.J. Hawk,LB,FA,2013
14947,Pat/Quinn,A.J. Jenkins,WR,2012,2014,$4
15834,John,Aaron Dobson,WR,2013,2015,$9
8439,Koci/Mueller,Aaron Rodgers,QB,2012,2014,$263
16022,Koci/Mueller,Ace Sanders,WR,2013,2015,$5
10452,Schex,Adrian Peterson,RB,2012,2014,$135
10693,John,Ahmad Bradshaw,RB,2013,2013,$83
13988,Mitch,Aldon Smith,LB,2013,2013,$20
15806,Mitch,Alec Ogletree,LB,2013,2013,$1
8416,John,Alex Smith,QB,2011,2013,$5
15009,James,Alfred Morris,RB,2013,2015,$230
14912,James,Alshon Jeffery,WR,2012,2014,$16
12490,John,Andre Brown,RB,2013,2013,$60
15893,Pat/Quinn,Andre Ellington,RB,2013,2015,$2
4461,Trevor,Andre Johnson,WR,2013,2014,$105
13226,Schex,Andre Roberts,WR,2013,2015,$3
14874,Mitch,Andrew Luck,QB,2012,2014,$25
14012,Keyon,Andy Dalton,QB,2011,2013,$4
4512,John,Anquan Boldin,WR,2013,2013,$27
10470,James,Anthony Spencer,DL/LB,2013,2015,$27
9793,Schex,Anthoine Bethea,DB,FA,2013,$1
13934,Mitch,Antonio Brown,WR,2013,2013,$85
5362,Mitch,Antonio Gates,TE,2013,2013,$25
12497,Daniel,Arian Foster,RB,2013,2013,$270
15828,Trevor,Arthur Brown,LB,2013,2015,$1
15805,Charles,Barkevious Mingo,DL/LB,2013,2015,$1
5536,James,Ben Roethlisberger,QB,2011,2013,$90
13210,Pat/Quinn,Ben Tate,RB,2013,2015,$45
11754,Keyon,BenJarvus Green-Ellis,RB,2012,2013,$32
16055,Schex,Benny Cunningham,RB,FA,2013,$1
14891,Jake/Luke,Bernard Pierce,RB,2012,2014,$7
9640,John,Bernard Pollard,DB,FA,2013,$1
14129,Schex,Bilal Powell,RB,2013,2013,$17
13987,Daniel,Blaine Gabbert,QB,2012,2014,$24
15058,Charles,Blair Walsh,K,2013,2013,$2
15501,Schex,Bobby Rainey,RB,FA,2013,$3
14979,James,Bobby Wagner,LB,2013,2015,$15
10507,,Brandon Jackson,RB,FA,2013
12576,Charles,Brandon LaFell,WR,2013,2013,$1
9705,Mitch,Brandon Marshall,WR,2013,2014,$175
12705,Trevor,Brandon Myers,TE,2013,2013,$40
12549,Keyon,Brandon Pettigrew,TE,2013,2013,$17
12597,Pat/Quinn,Brandon Tate,WR,2012,2014,$3
14878,Syed,Brandon Weeden,QB,2012,2014,$13
10605,Schex,Brent Celek,TE,2013,2015,$2
12453,John,Brian Cushing,LB,2013,2015,$7
12568,John,Brian Hartline,WR,2013,2015,$12
12477,Jake/Luke,Brian Hoyer,QB,FA,2013,$11
12439,Syed,Brian Orakpo,LB,2013,2015,$1
14914,Koci/Mueller,Brian Quick,WR,2012,2014,$16
10546,,Brian Robison,DL,FA,2013
14879,Pat/Quinn,Brock Osweiler,QB,2012,2014,$1
14026,Keyon,Bruce Carter,LB,2013,2015,$3
15092,Jake/Luke,Bryce Brown,RB,2012,2014,$2
13203,Jake/Luke,C.J. Spiller,RB,2013,2015,$280
11284,Keyon,Calais Campbell,DL,2013,2013,$2
10447,Schex,Calvin Johnson,WR,2011,2013,$150
13994,Trevor,Cam Newton,QB,2011,2013,$13
13971,Schex,Cameron Jordan,DL,2013,2015,$2
12417,Charles,Cameron Wake,DL,2013,2014,$11
4459,Keyon,Carson Palmer,QB,2013,2013,$82
14184,John,Cecil Shorts,WR,2013,2015,$39
9603,Schex,Chad Greenway,LB,2013,2015,$6
11291,Daniel,Chad Henne,QB,2013,2015,$10
14927,Pat/Quinn,Chandler Jones,DL,2012,2014,$1
14145,Charles,Charles Clay,TE,FA,2013,$6
10527,Daniel,Charles Johnson,DL,2011,2013,$1
4493,Koci/Mueller,Charles Tillman,DB,2013,2013,$13
1442,,Charles Woodson,DB,FA,2013
12471,Pat/Quinn,Chase Daniel,QB,FA,2013,$1
15078,John,Chris Givens,WR,2012,2014,$2
13587,Keyon,Chris Ivory,RB,2013,2013,$85
11258,Schex,Chris Johnson,RB,2013,2014,$160
11236,Daniel,Chris Long,DL,2013,2013,$1
12517,Keyon,Chris Ogbonnaya,RB,FA,2013,$3
14896,Trevor,Chris Rainey,RB,2012,2014,$13
13966,James,Christian Ponder,QB,2011,2013,$4
15855,Pat/Quinn,Christine Michael,RB,2013,2015,$13
16496,Daniel,Cierre Wood,RB,2013,2015,$1
12438,Jake/Luke,Clay Matthews,LB,FA,2013,$1
11326,,Cliff Avril,DL,FA,2013
14900,Keyon,Coby Fleener,TE,2012,2014,$7
14001,Daniel,Colin Kaepernick,QB,2011,2013,$4
12449,Mitch,Connor Barwin,DL,2012,2013,$1
15807,John,Cordarrelle Patterson,WR,2013,2015,$18
9801,Trevor,Cortland Finnegan,DB,2013,2014,$1
14970,,Courtney Upshaw,LB,FA,2013
11271,Charles,Curtis Lofton,LB,2013,2013,$6
14897,Jake/Luke,Cyrus Gray,RB,2012,2014,$1
15865,,D.J. Swearinger,DB,FA,2013
9620,Keyon,D'Qwell Jackson,LB,2013,2013,$10
14087,Schex,Da'Rel Scott,RB,FA,2013,$2
4482,Keyon,Dallas Clark,TE,FA,2013,$2
14322,Keyon,Dan Bailey,K,2013,2013,$1
9628,,Danieal Manning,DB,FA,2013
14056,Koci/Mueller,Daniel Thomas,RB,2013,2015,$22
13103,,Dannell Ellerbe,LB,FA,2013
11674,Koci/Mueller,Danny Amendola,WR,2012,2014,$32
11788,Syed,Danny Woodhead,RB,2011,2013,$1
11933,Pat/Quinn,Darius Reynaud,RB,2012,2014,$1
15863,,Darius Slay,DB,FA,2013
11238,John,Darren McFadden,RB,2013,2013,$95
8544,Koci/Mueller,Darren Sproles,RB,2011,2013,$6
12570,Pat/Quinn,Darrius Heyward-Bey,WR,2011,2013,$1
15111,Charles,Daryl Richardson,RB,2013,2014,$55
13305,Charles,Daryl Washington,LB,2012,2013,$11
15798,Daniel,Datone Jones,DL,2013,2013,$1
1716,John,David Akers,K,2012,2014,$3
14887,Keyon,David Wilson,RB,2012,2014,$25
11678,Jake/Luke,Davone Bess,WR,2013,2013,$1
15795,Charles,DeAndre Hopkins,WR,2013,2015,$18
5533,Jake/Luke,DeAngelo Hall,DB,FA,2013,$1
9613,Mitch,DeAngelo Williams,RB,2013,2013,$70
13398,Daniel,Deji Karim,RB,2013,2015,$1
14005,James,DeMarco Murray,RB,2011,2013,$7
8426,Mitch,DeMarcus Ware,LB,2011,2013,$6
13216,Schex,Demaryius Thomas,WR,2012,2013,$60
15951,John,Denard Robinson,RB,2013,2015,$7
14153,Koci/Mueller,Denarius Moore,WR,2011,2013,$13
8430,Koci/Mueller,Derrick Johnson,LB,2011,2013,$2
13248,Keyon,Derrick Morgan,DL,FA,2013,$1
11283,Mitch,DeSean Jackson,WR,2013,2014,$62
15812,,Desmond Trufant,DB,FA,2013
9643,Trevor,Devin Hester,WR,2013,2013,$7
13236,Koci/Mueller,Devin McCourty,DB,2012,2014,$3
13207,Mitch,Dexter McCluster,WR,2013,2013,$3
13215,James,Dez Bryant,WR,2013,2015,$185
15800,Trevor,Dion Jordan,DL,2013,2015,$2
15974,Trevor,Dion Sims,TE,2013,2013,$9
12489,,Donald Brown,RB,FA,2013
13265,Keyon,Donald Butler,LB,FA,2013,$1
11267,Charles,Donnie Avery,WR,2013,2013,$3
14933,James,Dont'a Hightower,LB,2012,2014,$1
14939,James,Dontari Poe,DL,FA,2013,$1
14221,Jake/Luke,Doug Baldwin,WR,2012,2014,$11
14885,Syed,Doug Martin,RB,2012,2014,$25
2580,Trevor,Drew Brees,QB,2013,2013,$299
14255,,DuJuan Harris,RB,FA,2013
15190,Jake/Luke,Duke Ihenacho,DB,FA,2013,$1
11264,,Dustin Keller,TE,FA,2013
14901,,Dwayne Allen,TE,FA,2013
10467,James,Dwayne Bowe,WR,2013,2015,$85
15803,James,EJ Manuel,QB,2013,2015,$17
13272,Jake/Luke,Ed Dickson,TE,2012,2013,$6
15848,Mitch,Eddie Lacy,RB,2013,2015,$26
11276,Daniel,Eddie Royal,WR,2013,2013,$1
5526,Syed,Eli Manning,QB,2011,2013,$28
9712,Charles,Elvis Dumervil,DL,2012,2013,$5
13295,Pat/Quinn,Emmanuel Sanders,WR,2011,2013,$10
13252,,Eric Berry,DB,FA,2013
13271,Jake/Luke,Eric Decker,WR,2013,2013,$115
15809,Charles,Eric Reid,DB,2013,2015,$1
10481,Pat/Quinn,Eric Weddle,DB,2012,2014,$3
11636,Pat/Quinn,Erin Henderson,LB,FA,2013,$1
