ID,Owner,Name,Position,Start,End,Salary
13358,,A.J. Edds,LB,FA,2010
9591,,A.J. Hawk,LB,FA,2010
12635,,Aaron Brown,RB,FA,2010
12452,,Aaron Curry,LB,FA,2010
13230,Keyon,Aaron Hernandez,TE,2010,2012,$1
3684,Patrick,Aaron Kampman,DL,2009,2011,$6
12456,,Aaron Maybin,LB,FA,2010
8439,Koci,Aaron Rodgers,QB,2008,2010,$7
10464,,Aaron Ross,DB,FA,2010
2594,,Aaron Schobel,DL,FA,2010
8421,,Adam Jones,DB,FA,2010
1097,,Adam Vinatieri,K,FA,2010
2868,,Adewale Ogunleye,DL,FA,2010
10452,John,Adrian Peterson,RB,2010,2010,$325
10693,Jake/Luke,Ahmad Bradshaw,RB,2010,2010,$70
1432,,Ahman Green,RB,FA,2010
10883,,Akeem Jordan,LB,FA,2010
13433,,Akwasi Owusu-Ansah,DB,FA,2010
10680,,Alan Ball,DB,FA,2010
3543,,Albert Haynesworth,DL,FA,2010
8416,,Alex Smith,QB,FA,2010
1638,,Allen Rossum,DB,FA,2010
11331,,Andre Caldwell,WR,FA,2010
2555,Trevor,Andre Carter,DL,2010,2011,$16
4461,Koci,Andre Johnson,WR,2008,2010,$156
13226,,Andre Roberts,WR,FA,2010
4512,Schexes,Anquan Boldin,WR,2008,2010,$11
11946,John,Anthony Armstrong,WR,FA,2010,$4
13212,Syed,Anthony Dixon,RB,FA,2010,$25
9639,Patrick,Anthony Fasano,TE,2009,2011,$4
10476,John,Anthony Gonzalez,WR,2010,2010,$26
10470,,Anthony Spencer,LB,FA,2010
9793,,Antoine Bethea,DB,FA,2010
1775,Keyon,Antoine Winfield,DB,2009,2011,$1
3591,,Antonio Bryant,WR,FA,2010
5362,Schexes,Antonio Gates,TE,2010,2011,$89
5660,,Antonio Smith,DL,FA,2010
8423,Daniel,Antrel Rolle,DB,2010,2010,$5
5582,,Antwan Odom,DL,FA,2010
12497,Koci,Arian Foster,RB,2010,2010,$77
13218,Daniel,Arrelious Benn,WR,2010,2012,$15
12561,Daniel,Austin Collie,WR,2010,2010,$1
12447,,B.J. Raji,DL,FA,2010
8450,Trevor,Barrett Ruud,LB,2009,2011,$5
12525,Jake/Luke,Beanie Wells,RB,2009,2011,$55
9835,Patrick,Ben Obomanu,WR,FA,2010,$3
5536,Trevor,Ben Roethlisberger,QB,2010,2010,$80
13210,Daniel,Ben Tate,RB,2010,2012,$7
5557,Daniel,Benjamin Watson,TE,2010,2010,$1
11754,Keyon,BenJarvus Green-Ellis,RB,FA,2010,$6
5603,,Bernard Berrian,WR,FA,2010
9640,Trevor,Bernard Pollard,DB,2010,2011,$7
12724,Patrick,Bernard Scott,RB,2010,2012,$15
13776,Daniel,Blair White,WR,FA,2010,$1
8593,Jake/Luke,Bo Scaife,TE,2010,2010,$1
937,,Bobby Engram,WR,FA,2010
4597,,Bobby Wade,WR,FA,2010
9689,John,Brad Smith,WR,FA,2010,$1
4561,,Bradie James,LB,FA,2010
10466,,Brady Quinn,QB,FA,2010
12567,John,Brandon Gibson,WR,FA,2010,$1
13239,Jake/Luke,Brandon Graham,DL,2010,2012,$1
10507,Schexes,Brandon Jackson,RB,FA,2010,$31
8524,John,Brandon Jacobs,RB,2010,2011,$40
12576,Schexes,Brandon LaFell,WR,2010,2012,$4
4582,Koci,Brandon Lloyd,WR,FA,2010,$29
