ID,Owner,Name,Position,Start,End,Salary
5859,Trevor,A.J. Brown,WR,2019,2021,$16
830,Schex,A.J. Green,WR,2019,2019,$120
1547,,A.J. Klein,LB,FA,2018
2227,Trevor,Aaron Donald,DL,2019,2019,$15
4199,Schex,Aaron Jones,RB,2017,2019,$2
96,Trevor,Aaron Rodgers,QB,2019,2019,$281
2822,James/Charles,Adam Humphries,WR,2019,2021,$3
657,,Adam Jones,DB,FA,2018
4085,,Adam Shaheen,TE,FA,2018
1689,Koci/Mueller,Adam Thielen,WR,2017,2019,$7
120,,Adam Vinatieri,K,FA,2018
2190,,Adarius Taylor,LB,FA,2018
4078,Syed/Kuan,Adoree' Jackson,DB,2017,2019,$1
961,,Adrian Clayborn,DL,FA,2018
184,Patrick,Adrian Peterson,RB,2019,2019,$35
1895,,AJ McCarron,QB,FA,2018
1186,,Akiem Hicks,DL,FA,2018
2025,Keyon,Albert Wilson,WR,2019,2021,$4
3827,,Aldrick Rosas,K,FA,2018
1572,Koci/Mueller,Alec Ogletree,LB,2018,2020,$22
4118,,Alex Anzalone,LB,FA,2018
6031,Koci/Mueller,Alex Barnes,RB,2019,2019,$1
3327,,Alex Collins,RB,FA,2019
1578,,Alex Okafor,DL,FA,2018
268,,Alex Smith,QB,FA,2019
5987,James/Charles,Alexander Mattison,RB,2019,2021,$13
1944,,Alfred Blue,RB,FA,2019
1170,,Alfred Morris,RB,FA,2018
1984,,Allen Hurns,WR,FA,2019
5185,,Allen Lazard,WR,FA,2019
1992,Schex,Allen Robinson,WR,2017,2019,$75
1149,Koci/Mueller,Alshon Jeffery,WR,2017,2019,$90
4035,Keyon,Alvin Kamara,RB,2017,2019,$12
4139,,Amara Darboh,WR,FA,2018
2309,Mitch,Amari Cooper,WR,2018,2019,$100
2359,Patrick,Ameer Abdullah,RB,2019,2021,$1
1575,,Andre Ellington,RB,FA,2018
92,,Andre Johnson,WR,FA,2018
627,,Andre Roberts,WR,FA,2018
2088,,Andre Williams,RB,FA,2018
831,,Andrew Hawkins,WR,FA,2018
1111,,Andrew Luck,QB,FA,2019
770,,Andrew Sendejo,DB,FA,2018
829,Schex,Andy Dalton,QB,2019,2020,$55
5915,Patrick,Andy Isabella,WR,2019,2021,$4
3332,,Andy Janovich,RB,FA,2018
655,,Anquan Boldin,WR,FA,2018
2151,,Anthony Barr,LB,FA,2018
2062,Patrick,Anthony Hitchens,LB,2019,2019,$2
5013,Keyon,Anthony Miller,WR,2018,2020,$9
4203,,Anthony Walker,LB,FA,2018
3358,,Anthony Zettel,DL,FA,2018
88,,Antoine Bethea,DB,FA,2019
609,,Antone Smith,RB,FA,2018
536,Patrick,Antonio Brown,WR,2019,2019,$250
5310,Brett/Luke,Antonio Callaway,WR,2018,2019,$3
322,,Antonio Gates,TE,FA,2018
4119,,ArDarius Stewart,WR,FA,2018
5067,,Arden Key,DL,FA,2018
669,,Arian Foster,RB,FA,2018
5130,,Auden Tate,WR,FA,2018
4663,Koci/Mueller,Austin Ekeler,RB,2018,2020,$12
3202,Trevor,Austin Hooper,TE,2019,2021,$3
2222,,Austin Seferian-Jenkins,TE,FA,2018
1940,,Avery Williamson,LB,FA,2018
3270,,B.J. Goodson,LB,FA,2018
4892,Quinn,Baker Mayfield,QB,2018,2020,$28
575,,Barry Church,DB,FA,2018
2091,,Bashaud Breeland,DB,FA,2018
138,Schex,Ben Roethlisberger,QB,2019,2019,$102
2348,,Benardrick McKinney,LB,FA,2018
-1,,Benjamin Cunningham,RB,FA,2018
663,,Benjamin Watson,TE,FA,2018
2003,,Bennie Fowler,WR,FA,2018
6156,Terence,Benny Snell,RB,2019,2021,$4
818,,Bilal Powell,RB,FA,2018
1937,,Bishop Sankey,RB,FA,2018
862,,Blaine Gabbert,QB,FA,2018
1214,,Blair Walsh,K,FA,2018
1979,Quinn,Blake Bortles,QB,2017,2019,$17
3291,Keyon,Blake Martinez,LB,2018,2020,$9
5112,,Bo Scarbrough,RB,FA,2018
1059,,Bobby Rainey,RB,FA,2018
1233,Koci/Mueller,Bobby Wagner,LB,2019,2019,$32
5122,,Boston Scott,RB,FA,2018
4967,James/Charles,Bradley Chubb,LB,2018,2020,$1
1617,,Bradley McDougald,DB,FA,2018
2050,,Branden Oliver,RB,FA,2018
2197,Keyon,Brandin Cooks,WR,2019,2019,$115
1034,,Brandon Bolden,RB,FA,2018
2196,,Brandon Coleman,WR,FA,2018
583,,Brandon Graham,DL,FA,2018
613,,Brandon LaFell,WR,FA,2018
1118,Trevor,Brandon Marshall,LB,2018,2020,$4
648,,Brandon Marshall,WR,FA,2018
1433,,Brandon McManus,K,FA,2018
5695,Koci/Mueller,Brandon Powell,WR,2018,2020,$2
346,,Brandon Tate,WR,FA,2018
5121,,Braxton Berrios,WR,FA,2018
3203,,Braxton Miller,WR,FA,2018
2331,,Breshad Perriman,WR,FA,2018
2450,,Brett Hundley,QB,FA,2018
4958,Keyon,Brett Maher,K,2019,2019,$1
5862,Quinn,Brian Burns,LB,2019,2021,$1
4187,Quinn,Brian Hill,RB,2017,2019,$2
345,,Brian Hoyer,QB,FA,2018
414,,Brian Orakpo,LB,FA,2018
3669,,Brian Poole,DB,FA,2018
1208,,Brian Quick,WR,FA,2018
1471,,Brice Butler,WR,FA,2018
1126,,Brock Osweiler,QB,FA,2018
2255,,Bruce Ellington,WR,FA,2018
5889,Terence,Bryce Love,RB,2019,2021,$1
2408,,Bryce Petty,QB,FA,2018
4081,Brett/Luke,Budda Baker,DB,2018,2019,$9
2332,,Byron Jones,DB,FA,2018
3491,,Byron Marshall,RB,FA,2018
1451,Terence,C.J. Anderson,RB,2019,2020,$13
4127,,C.J. Beathard,QB,FA,2018
1951,,C.J. Fiedorowicz,TE,FA,2018
1875,James/Charles,C.J. Mosley,LB,2017,2019,$5
3204,,C.J. Prosise,RB,FA,2018
507,,C.J. Spiller,RB,FA,2018
2460,,C.J. Uzomah,TE,FA,2018
2020,,Cairo Santos,K,FA,2018
125,Brett/Luke,Calais Campbell,DL,2019,2020,$7
1358,,Caleb Sturgis,K,FA,2018
240,,Calvin Johnson,WR,FA,2018
4981,Mitch,Calvin Ridley,WR,2018,2020,$18
954,Brett/Luke,Cam Newton,QB,2017,2019,$175
2477,,Cameron Artis-Payne,RB,FA,2018
2214,,Cameron Brate,TE,FA,2018
843,,Cameron Heyward,DL,FA,2018
957,Patrick,Cameron Jordan,DL,2019,2019,$8
2699,,Cameron Meredith,WR,FA,2018
342,,Cameron Wake,DL,FA,2018
