ID,Owner,Name,Position,Start,End,Salary
-1,Koci/Mueller,A.J. Brown,WR,2022,2022,$140
-1,Brett,A.J. Dillon,RB,2020,2022,$7
-1,Schex,A.J. Green,WR,2021,2022,$2
-1,Brett,Aaron Donald,DL,2020,2022,$4
-1,Justin,Aaron Jones,RB,2021,2022,$200
-1,Trevor,Aaron Rodgers,QB,2022,2022,$190
-1,Quinn,Adam Thielen,WR,2022,2022,$44
-1,Trevor,Aidan Hutchinson,DL,2022,2024,$1
-1,Koci/Mueller,Albert Okwuegbunam,TE,2022,2024,$10
-1,Mitch/Mike,Alec Pierce,WR,2022,2024,$8
-1,James/Charles,Alexander Mattison,RB,2022,2024,$40
-1,Jason,Allen Lazard,WR,2022,2024,$26
-1,Mitch/Mike,Allen Robinson,WR,2022,2022,$78
-1,Jason,Alvin Kamara,RB,2020,2022,$215
-1,Jason,Amari Cooper,WR,2022,2024,$55
-1,Quinn,Amari Rodgers,WR,2021,2023,$4
-1,Quinn,Amon-Ra St. Brown,WR,2021,2023,$8
-1,Trevor,Anthony Schwartz,WR,2021,2023,$4
-1,Mitch/Mike,Antoine Winfield,DB,2020,2022,$1
-1,Quinn,Antonio Gibson,RB/WR,2020,2022,$13
-1,Schex,Austin Ekeler,RB,2021,2022,$150
-1,Trevor,Austin Hooper,TE,2022,2023,$1
-1,Patrick,Baker Mayfield,QB,2022,2024,$65
-1,Justin,Bobby Okereke,LB,2022,2024,$1
-1,James/Charles,Bobby Wagner,LB,2022,2022,$15
-1,Mitch/Mike,Boston Scott,RB,2022,2022,$7
-1,Justin,Boye Mafe,DL,2022,2023,$1
-1,James/Charles,Brandin Cooks,WR,2020,2022,$50
-1,Luke,Brandon Aiyuk,WR,2020,2022,$8
-1,Koci/Mueller,Breece Hall,RB,2022,2024,$25
-1,Quinn,Brian Burns,DL,2022,2024,$1
-1,Justin,Brian Robinson,RB,2022,2024,$13
-1,Jason,Bryan Edwards,WR,2020,2022,$8
-1,Quinn,Bryce Perkins,QB,2020,2022,$1
-1,Schex,Budda Baker,DB,2022,2024,$6
-1,Koci/Mueller,Byron Pringle,WR,2021,2023,$1
-1,Koci/Mueller,C.J. Mosley,LB,2021,2023,$2
-1,Justin,Cade Otton,TE,2022,2024,$1
-1,James/Charles,Cade York,K,2022,2024,$1
-1,Jason,Calvin Austin,WR,2022,2024,$2
-1,Schex,Calvin Ridley,WR,2022,2024,$42
-1,Koci/Mueller,Cam Akers,RB,2020,2022,$25
-1,Koci/Mueller,Cameron Heyward,DL,2022,2024,$1
-1,Patrick,Cameron Jordan,DL,2022,2022,$1
-1,Brett,Carson Wentz,QB,2022,2022,$47
-1,Justin,Case Keenum,QB,2021,2023,$1
-1,Justin,CeeDee Lamb,WR,2020,2022,$16
-1,Keyon,Chandler Jones,DL/LB,2022,2022,$1
-1,Luke,Chase Claypool,WR,2020,2022,$4
-1,Justin,Chase Edmonds,RB,2022,2023,$40
-1,Justin,Chase Young,DL,2022,2024,$1
-1,James/Charles,Chris Evans,RB,2022,2023,$3
-1,Schex,Chris Godwin,WR,2022,2024,$70
-1,Justin,Chris Olave,WR,2022,2024,$16
-1,Mitch/Mike,Christian Kirk,WR,2022,2023,$38
-1,Quinn,Christian Kirksey,LB,2020,2022,$3
-1,Patrick,Christian McCaffrey,RB,2022,2022,$295
-1,Brett,Christian Watson,WR,2022,2023,$8
-1,Jason,Chuba Hubbard,RB,2021,2023,$7
-1,James/Charles,Clyde Edwards-Helaire,RB,2020,2022,$25
-1,James/Charles,Cole Holcomb,LB,2022,2024,$1
-1,Luke,Cole Kmet,TE,2020,2022,$2
-1,Quinn,Cooper Kupp,WR,2021,2022,$69
-1,Koci/Mueller,Cooper Rush,QB,2022,2024,$1
-1,Jason,Cordarrelle Patterson,RB,2022,2023,$37
-1,Schex,Corey Davis,WR,2020,2022,$2
-1,Luke,Courtland Sutton,WR,2021,2022,$67
-1,Koci/Mueller,Curtis Samuel,WR,2022,2024,$2
-1,Patrick,D.J. Chark,WR,2021,2023,$33
-1,Quinn,D.J. Moore,WR,2021,2022,$97
-1,Justin,D'Andre Swift,RB,2020,2022,$25
-1,Keyon,D'Ernest Johnson,RB,2022,2024,$1
-1,Patrick,D'Onta Foreman,RB,2022,2022,$16
-1,Patrick,Dee Eskridge,WR,2021,2023,$4
-1,Koci/Mueller,Dak Prescott,QB,2022,2022,$200
-1,Schex,Dallas Goedert,TE,2021,2023,$35
-1,Keyon,Dalton Schultz,TE,2022,2022,$52
-1,James/Charles,Dalvin Cook,RB,2022,2022,$290
-1,Koci/Mueller,Dameon Pierce,RB,2022,2024,$25
-1,Brett,Damien Harris,RB,2022,2023,$60
-1,Quinn,Damien Williams,RB,2022,2022,$1
-1,Patrick,Daniel Bellinger,TE,2022,2024,$1
-1,Jason,Daniel Carlson,K,2022,2022,$5
-1,Patrick,Daniel Jones,QB,2022,2024,$60
-1,James/Charles,Danielle Hunter,DL,2021,2022,$11
-1,Koci/Mueller,Danny Gray,WR,2022,2024,$2
-1,Keyon,Darnell Mooney,WR,2020,2022,$1
-1,Schex,Darrel Williams,RB,2021,2023,$6
-1,Trevor,Darrell Henderson,RB,2022,2024,$25
-1,Brett,Darren Waller,TE,2022,2022,$110
-1,Quinn,Davante Adams,WR,2022,2022,$200
-1,Patrick,David Bell,WR,2022,2024,$4
-1,Quinn,David Montgomery,RB,2022,2024,$165
-1,Brett,David Njoku,TE,2021,2022,$1
-1,Jason,Davis Mills,QB,2021,2023,$8
-1,Patrick,Dawson Knox,TE,2022,2024,$30
-1,Trevor,Dayo Odeyingbo,DL,2021,2023,$1
-1,Quinn,De'Vondre Campbell,LB,2022,2024,$2
-1,Schex,DeAndre Hopkins,WR,2022,2024,$52
-1,Koci/Mueller,Deebo Samuel,WR,2022,2022,$177
-1,Justin,DeForest Buckner,DL,2022,2024,$1
-1,Schex,Deion Jones,LB,2022,2022,$1
-1,Jason,Demario Davis,LB,2021,2022,$2
-1,Schex,Denzel Perryman,LB,2022,2024,$1
-1,Schex,Derek Carr,QB,2020,2022,$38
-1,Quinn,Derrick Henry,RB,2022,2022,$275
-1,Luke,Derwin James,DB,2021,2023,$2
-1,Luke,Deshaun Watson,QB,2021,2023,$40
-1,Mitch/Mike,Desmond Ridder,QB,2022,2024,$19
-1,Patrick,DeVante Parker,WR,2022,2024,$7
-1,Schex,Devin Duvernay,WR,2022,2024,$13
-1,Luke,Devin Lloyd,LB,2022,2024,$1
-1,Brett,Devin Singletary,RB,2022,2023,$79
-1,Jason,Devin White,LB,2022,2022,$25
-1,Mitch/Mike,DeVonta Smith,WR,2021,2023,$16
-1,Schex,Diontae Johnson,WR,2022,2024,$85
-1,Keyon,DK Metcalf,WR,2022,2024,$100
-1,Keyon,Donald Parham,TE,2021,2023,$1
-1,Brett,Donovan Peoples-Jones,WR,2021,2023,$1
-1,Koci/Mueller,Dontrell Hilliard,RB,2022,2024,$1
-1,Trevor,Drake London,WR,2022,2024,$16
-1,Trevor,Drew Lock,QB,2022,2024,$15
-1,Mitch/Mike,Elijah Mitchell,RB,2021,2023,$2
-1,Justin,Elijah Moore,WR,2021,2023,$8
-1,Schex,Eno Benjamin,RB,2022,2024,$4
-1,Jason,Eric Kendricks,LB,2021,2022,$3
-1,Keyon,Evan Engram,TE,2022,2024,$1
-1,Mitch/Mike,Evan McPherson,K,2021,2023,$1
-1,Jason,Ezekiel Elliott,RB,2021,2023,$180
-1,Keyon,Foye Oluokun,LB,2021,2023,$1
-1,Koci/Mueller,Fred Warner,LB,2022,2022,$15
-1,Keyon,Gabe Davis,WR,2020,2022,$1
-1,Jason,Gardner Minshew,QB,2022,2024,$2
-1,Brett,Garrett Wilson,WR,2022,2024,$16
-1,Luke,Geno Smith,QB,2022,2022,$29
-1,Quinn,George Karlaftis,DL,2022,2024,$1
-1,James/Charles,George Kittle,TE,2022,2022,$85
-1,Mitch/Mike,George Pickens,WR,2022,2024,$16
-1,James/Charles,Gerald Everett,TE,2022,2024,$1
-1,Schex,Greg Dulcich,TE,2022,2024,$1
-1,Koci/Mueller,Greg Joseph,K,2022,2022,$1
-1,Brett,Greg Rousseau,DL,2021,2022,$1
-1,Justin,Greg Zuerlein,K,2021,2022,$2
-1,Koci/Mueller,Gus Edwards,RB,2022,2024,$5
-1,Quinn,Haason Reddick,LB,2022,2022,$3
-1,Trevor,Harrison Butker,K,2022,2023,$2
-1,James/Charles,Harrison Smith,DB,2022,2022,$5
-1,Brett,Hassan Haskins,RB,2022,2023,$7
-1,Justin,Hayden Hurst,TE,2022,2024,$1
-1,Quinn,Hunter Henry,TE,2022,2024,$8
-1,Patrick,Hunter Renfrow,WR,2022,2024,$60
-1,Koci/Mueller,Irv Smith,TE,2022,2024,$6
-1,Koci/Mueller,Isaiah Likely,TE,2022,2024,$2
-1,James/Charles,Isaiah McKenzie,WR,2022,2024,$12
-1,Luke,Isaiah Simmons,LB,2020,2022,$1
-1,Patrick,Isaiah Spiller,RB,2022,2024,$25
-1,Keyon,Isiah Pacheco,RB,2022,2024,$7
-1,Jason,J.D. McKissic,RB,2020,2022,$1
-1,Quinn,J.K. Dobbins,RB,2020,2022,$25
-1,Keyon,Ja'Marr Chase,WR,2021,2023,$16
-1,Patrick,Jacoby Brissett,QB,2022,2024,$26
-1,Mitch/Mike,Jaelan Phillips,DL/LB,2021,2023,$1
-1,Koci/Mueller,Jahan Dotson,WR,2022,2024,$16
-1,Patrick,Jakobi Meyers,WR,2021,2023,$11
-1,Jason,Jalen Hurts,QB,2020,2022,$8
-1,Justin,Jalen Thompson,DB,2022,2024,$4
-1,Patrick,Jalen Tolbert,WR,2022,2024,$8
-1,Patrick,Jamaal Williams,RB,2020,2022,$5
-1,Brett,Jamal Adams,DB,2022,2022,$10
-1,Koci/Mueller,Jamal Agnew,WR,2022,2024,$1
-1,Luke,Jameis Winston,QB,2020,2022,$7
-1,Patrick,James Cook,RB,2022,2024,$25
-1,Schex,James Conner,RB,2021,2023,$21
-1,Patrick,James Robinson,RB,2021,2023,$105
-1,Justin,Jameson Williams,WR,2022,2024,$8
-1,Schex,Jamin Davis,LB,2021,2023,$1
-1,Brett,Jared Goff,QB,2021,2023,$64
-1,Schex,Jarrett Stidham,QB,2022,2024,$1
-1,Patrick,Jarvis Landry,WR,2022,2024,$1
-1,Keyon,Javonte Williams,RB,2021,2023,$25
-1,Justin,Jaylen Waddle,WR,2021,2023,$16
-1,Mitch/Mike,Jeff Wilson,RB,2022,2022,$3
-1,James/Charles,Jelani Woods,TE,2022,2024,$1
-1,Brett,Jeremiah Owusu-Koramoah,LB,2021,2022,$1
-1,Brett,Jeremy Chinn,DB/LB,2020,2022,$1
-1,Keyon,Jerick McKinnon,RB,2022,2022,$7
-1,Trevor,Jermaine Johnson,DL/LB,2022,2024,$1
-1,Patrick,Jerome Baker,LB,2022,2022,$1
-1,Jason,Jerome Ford,RB,2022,2024,$2
-1,Trevor,Jerry Jeudy,WR,2020,2022,$16
-1,James/Charles,Jessie Bates,DB,2021,2023,$5
-1,Jason,Jevon Holland,DB,2021,2023,$1
-1,James/Charles,Jimmy Garoppolo,QB,2021,2022,$24
-1,Luke,Joe Burrow,QB,2020,2022,$32
-1,Keyon,Joe Flacco,QB,2022,2022,$1
-1,Keyon,Joe Mixon,RB,2020,2022,$160
-1,Trevor,Joey Bosa,DL,2020,2022,$15
-1,Jason,John Metchie,WR,2022,2024,$1
-1,Quinn,Johnathan Abram,DB,2020,2022,$1
-1,Schex,Jonathan Taylor,RB,2020,2022,$25
-1,Brett,Jordan Davis,DL,2022,2023,$1
-1,Jason,Jordan Love,QB,2020,2022,$16
-1,James/Charles,Jordan Poyer,DB,2020,2022,$3
-1,Keyon,Jordyn Brooks,LB,2022,2024,$22
-1,Mitch/Mike,Josh Allen,QB,2022,2023,$323
-1,Luke,Josh Allen,DL,2021,2022,$1
-1,Trevor,Josh Jacobs,RB,2022,2022,$125
-1,Keyon,Joshua Kelley,RB,2022,2022,$1
-1,Schex,Joshua Palmer,WR,2021,2023,$4
-1,Mitch/Mike,JuJu Smith-Schuster,WR,2022,2023,$80
-1,Jason,Julio Jones,WR,2022,2024,$3
-1,Mitch/Mike,Justin Fields,QB,2021,2023,$29
-1,Jason,Justin Herbert,QB,2020,2022,$32
-1,James/Charles,Justin Jefferson,WR,2020,2022,$16
-1,Koci/Mueller,Justin Simmons,DB,2020,2022,$2
-1,Keyon,Justin Tucker,K,2021,2023,$6
-1,Trevor,K.J. Hamler,WR,2020,2022,$4
-1,Mitch/Mike,K.J. Osborn,WR,2022,2022,$12
-1,Patrick,Kadarius Toney,WR,2021,2023,$8
-1,Koci/Mueller,Kamren Curl,DB,2022,2024,$3
-1,Justin,Kareem Hunt,RB,2020,2022,$42
-1,Keyon,KaVontae Turpin,WR,2022,2022,$2
-1,James/Charles,Kayvon Thibodeaux,DL,2022,2024,$1
-1,Keyon,Ke'Shawn Vaughn,RB,2022,2024,$1
-1,Schex,Keaontay Ingram,RB,2022,2024,$7
-1,Brett,Keenan Allen,WR,2020,2022,$65
-1,James/Charles,Kellen Mond,QB,2021,2023,$4
-1,James/Charles,Kendrick Bourne,WR,2022,2024,$1
-1,James/Charles,Kene Nwangwu,RB,2022,2024,$3
-1,Keyon,Kenneth Gainwell,RB,2021,2023,$13
-1,Trevor,Kenneth Murray,LB,2020,2022,$1
-1,Luke,Kenneth Walker,RB,2022,2024,$25
-1,Brett,Kenny Golladay,WR,2022,2022,$5
-1,Keyon,Kenny Moore,DB,2022,2024,$1
-1,Koci/Mueller,Kenny Pickett,QB,2022,2024,$37
-1,Luke,Kevin Byard,DB,2021,2022,$1
-1,Quinn,Kevin Harris,RB,2022,2022,$1
-1,Justin,Khalil Herbert,RB,2021,2023,$4
-1,Brett,Khalil Mack,DL/LB,2022,2023,$13
-1,Brett,Khalil Shakir,WR,2022,2023,$2
-1,Quinn,Kirk Cousins,QB,2022,2022,$160
-1,Patrick,Kyle Dugger,DB,2022,2022,$1
-1,Trevor,Kyle Fuller,DB,2020,2022,$1
-1,Luke,Kyle Hamilton,DB,2022,2024,$1
-1,Keyon,Kyle Philips,WR,2022,2024,$1
-1,Mitch/Mike,Kyle Pitts,TE,2021,2023,$5
-1,Jason,Kyle Trask,QB,2021,2023,$4
-1,Keyon,Kyler Murray,QB,2022,2022,$255
