Source,Year,EspnId,Owner,Name,Position,Start,End,Salary
dynastyData.xml,2009,12635,,Aaron Brown,RB,FA,2009,1
dynastyData.xml,2009,12452,,Aaron Curry,LB,2009,2011,10
dynastyData.xml,2009,3684,,Aaron Kampman,DL/LB,2009,2011,6
dynastyData.xml,2009,12456,,Aaron Maybin,LB,2009,2011,10
dynastyData.xml,2009,8439,,Aaron Rodgers,QB,2008,2010,7
dynastyData.xml,2009,2594,,Aaron Schobel,DL,FA,2009,1
dynastyData.xml,2009,1097,,Adam Vinatieri,K,2009,2009,1
dynastyData.xml,2009,2868,,Adewale Ogunleye,DL,2009,2011,2
dynastyData.xml,2009,10452,,Adrian Peterson,RB,2009,2009,320
dynastyData.xml,2009,10693,,Ahmad Bradshaw,RB,2009,2009,32
dynastyData.xml,2009,10883,,Akeem Jordan,LB,FA,2009,1
dynastyData.xml,2009,3543,,Albert Haynesworth,DL,2009,2009,2
dynastyData.xml,2009,1638,,Allen Rossum,DB,2009,2009,11
dynastyData.xml,2009,11331,,Andre Caldwell,WR,FA,2009,1
dynastyData.xml,2009,4461,,Andre Johnson,WR,2008,2010,156
dynastyData.xml,2009,4512,,Anquan Boldin,WR,2008,2010,11
dynastyData.xml,2009,9639,,Anthony Fasano,TE,2009,2011,4
dynastyData.xml,2009,10476,,Anthony Gonzalez,WR,2009,2009,92
dynastyData.xml,2009,1775,,Antoine Winfield,DB,2009,2011,1
dynastyData.xml,2009,3591,,Antonio Bryant,WR,2009,2011,38
dynastyData.xml,2009,5362,,Antonio Gates,TE,2009,2009,97
dynastyData.xml,2009,5660,,Antonio Smith,DL,FA,2009,1
dynastyData.xml,2009,8423,,Antrel Rolle,DB,FA,2009,1
dynastyData.xml,2009,5582,,Antwan Odom,DL,FA,2009,1
dynastyData.xml,2009,12447,,B.J. Raji,DL,FA,2009,1
dynastyData.xml,2009,8450,,Barrett Ruud,LB,2009,2011,5
dynastyData.xml,2009,12525,,Beanie Wells,RB,2009,2011,55
dynastyData.xml,2009,5536,,Ben Roethlisberger,QB,2009,2009,61
dynastyData.xml,2009,5557,,Benjamin Watson,TE,2009,2009,1
dynastyData.xml,2009,11754,,BenJarvus Green-Ellis,RB,FA,2009,1
dynastyData.xml,2009,5603,,Bernard Berrian,WR,2008,2010,4
dynastyData.xml,2009,12724,,Bernard Scott,RB,FA,2009,1
dynastyData.xml,2009,8593,,Bo Scaife,TE,2009,2009,4
dynastyData.xml,2009,937,,Bobby Engram,WR,2009,2009,1
dynastyData.xml,2009,4561,,Bradie James,LB,2009,2011,9
dynastyData.xml,2009,10466,,Brady Quinn,QB,2008,2010,3
dynastyData.xml,2009,8524,,Brandon Jacobs,RB,2008,2010,47
dynastyData.xml,2009,9705,,Brandon Marshall,WR,2008,2010,23
dynastyData.xml,2009,12549,,Brandon Pettigrew,TE,2009,2011,22
dynastyData.xml,2009,8418,,Braylon Edwards,WR,2009,2009,99
dynastyData.xml,2009,10605,,Brent Celek,TE,FA,2009,1
dynastyData.xml,2009,112,,Brett Favre,QB,2009,2009,13
dynastyData.xml,2009,12453,,Brian Cushing,LB,2009,2011,7
dynastyData.xml,2009,12439,,Brian Orakpo,DL,2009,2011,13
dynastyData.xml,2009,3619,,Brian Westbrook,RB,2009,2010,107
dynastyData.xml,2009,11909,,Brian Witherspoon,DB,2009,2011,1
dynastyData.xml,2009,4475,,Bryant Johnson,WR,FA,2009,1
dynastyData.xml,2009,4465,,Byron Leftwich,QB,FA,2009,1
dynastyData.xml,2009,8420,,Cadillac Williams,RB,2009,2010,8
dynastyData.xml,2009,10447,,Calvin Johnson,WR,2008,2010,32
dynastyData.xml,2009,4476,,Calvin Pace,DL,FA,2009,1
dynastyData.xml,2009,4459,,Carson Palmer,QB,2009,2011,79
dynastyData.xml,2009,8419,,Cedric Benson,RB,2009,2009,41
dynastyData.xml,2009,11291,,Chad Henne,QB,FA,2009,1
dynastyData.xml,2009,2584,,Chad Johnson,WR,2009,2009,79
dynastyData.xml,2009,2149,,Chad Pennington,QB,2009,2009,10
dynastyData.xml,2009,10678,,Chansi Stuckey,WR,FA,2009,1
dynastyData.xml,2009,4493,,Charles Tillman,DB,FA,2009,1
dynastyData.xml,2009,1442,,Charles Woodson,DB,FA,2009,1
dynastyData.xml,2009,11460,,Chaz Schilens,WR,FA,2009,1
dynastyData.xml,2009,3784,,Chester Taylor,RB,2009,2009,30
dynastyData.xml,2009,9285,,Chris Carr,DB,2009,2009,5
dynastyData.xml,2009,2600,,Chris Chambers,WR,FA,2009,5
dynastyData.xml,2009,5606,,Chris Cooley,TE,2008,2010,24
dynastyData.xml,2009,5553,,Chris Gamble,DB,FA,2009,1
dynastyData.xml,2009,8497,,Chris Henry (CIN),WR,2009,2009,1
dynastyData.xml,2009,3622,,Chris Hope,DB,FA,2009,1
dynastyData.xml,2009,11258,,Chris Johnson,RB,2008,2010,7
dynastyData.xml,2009,5551,,Chris Perry,RB,FA,2009,2
dynastyData.xml,2009,11816,,Clifton Smith,RB,FA,2009,1
dynastyData.xml,2009,3579,,Clinton Portis,RB,2009,2009,175
dynastyData.xml,2009,12449,,Connor Barwin,DL,2009,2011,5
dynastyData.xml,2009,2670,,Correll Buckhalter,RB,2009,2009,9
dynastyData.xml,2009,9801,,Cortland Finnegan,DB,FA,2009,1
dynastyData.xml,2009,5542,,D.J. Williams,LB,FA,2009,1
dynastyData.xml,2009,4482,,Dallas Clark,TE,2009,2009,67
dynastyData.xml,2009,9628,,Danieal Manning,DB,FA,2009,1
dynastyData.xml,2009,10768,,Danny Ware,RB,FA,2009,1
dynastyData.xml,2009,10458,,Darrelle Revis,DB,FA,2009,1
dynastyData.xml,2009,2164,,Darren Howard,DL,FA,2009,1
dynastyData.xml,2009,11238,,Darren McFadden,RB,2008,2010,187
dynastyData.xml,2009,1203,,Darren Sharper,DB,FA,2009,1
dynastyData.xml,2009,8544,,Darren Sproles,RB,2009,2011,118
dynastyData.xml,2009,12570,,Darrius Heyward-Bey,WR,2009,2011,14
dynastyData.xml,2009,1716,,David Akers,K,FA,2009,1
dynastyData.xml,2009,12459,,David Buehler,K,FA,2009,1
dynastyData.xml,2009,3636,,David Garrard,QB,2008,2010,16
dynastyData.xml,2009,10491,,David Harris,LB,FA,2009,1
dynastyData.xml,2009,11678,,Davone Bess,WR,FA,2009,1
dynastyData.xml,2009,9613,,DeAngelo Williams,RB,2009,2011,145
dynastyData.xml,2009,8426,,DeMarcus Ware,LB,2008,2010,37
dynastyData.xml,2009,9619,,DeMeco Ryans,LB,FA,2009,1
dynastyData.xml,2009,12557,,Deon Butler,WR,2009,2011,5
dynastyData.xml,2009,8627,,Derek Anderson,QB,FA,2009,1
dynastyData.xml,2009,10692,,Derek Stanley,WR,FA,2009,1
dynastyData.xml,2009,1263,,Derrick Mason,WR,2009,2009,5
dynastyData.xml,2009,5760,,Derrick Ward,RB,2009,2011,31
dynastyData.xml,2009,12602,,Derrick Williams,WR,2009,2011,1
dynastyData.xml,2009,11283,,DeSean Jackson,WR,2008,2010,16
dynastyData.xml,2009,5575,,Devery Henderson,WR,FA,2009,1
dynastyData.xml,2009,9643,,Devin Hester,WR,2009,2011,40
dynastyData.xml,2009,11268,,Devin Thomas,WR,FA,2009,2
dynastyData.xml,2009,9716,,Domenik Hixon,WR,FA,2009,12
dynastyData.xml,2009,12489,,Donald Brown,RB,2009,2011,28
dynastyData.xml,2009,1966,,Donald Driver,WR,2008,2010,8
dynastyData.xml,2009,11267,,Donnie Avery,WR,2008,2010,3
dynastyData.xml,2009,1753,,Donovan McNabb,QB,2009,2010,33
dynastyData.xml,2009,,,Drew Bennett,WR,FA,2009,1
dynastyData.xml,2009,2580,,Drew Brees,QB,2009,2010,171
dynastyData.xml,2009,11264,,Dustin Keller,TE,2009,2011,5
dynastyData.xml,2009,10467,,Dwayne Bowe,WR,2009,2011,90
dynastyData.xml,2009,3539,,Dwight Freeney,DL,FA,2009,1
dynastyData.xml,2009,11304,,Earl Bennett,WR,2009,2009,19
dynastyData.xml,2009,4950,,Earnest Graham,RB,2009,2010,8
dynastyData.xml,2009,11276,,Eddie Royal,WR,2008,2010,13
dynastyData.xml,2009,1755,,Edgerrin James,RB,2009,2009,2
dynastyData.xml,2009,5526,,Eli Manning,QB,2008,2010,24
dynastyData.xml,2009,8498,,Ellis Hobbs,DB,2008,2010,16
dynastyData.xml,2009,9712,,Elvis Dumervil,DL,FA,2009,1
dynastyData.xml,2009,5645,,Ernest Wilford,WR,FA,2009,1
dynastyData.xml,2009,11256,,Felix Jones,RB,2008,2009,47
dynastyData.xml,2009,8479,,Frank Gore,RB,2008,2010,184
dynastyData.xml,2009,10195,,Fred Jackson,RB,2009,2011,1
dynastyData.xml,2009,1430,,Fred Taylor,RB,2009,2009,20
