Dove Triangle
QB Tom Brady
RB Darius Reynaud
RB Maurice Jones-Drew
RB/WR Darrius Heyward-Bey
WR Pierre Garcon
WR Emmanuel Sanders
WR/TE Larry Fitzgerald
TE Scott Chandler
OP Nick Foles
LB Clay Matthews
DL Chandler Jones
DB Eric Weddle
DP Jared Allen
DP Terrell Suggs
K Greg Zuerlein
BE Brock Osweiler
BE Kenny Britt
BE A.J. Jenkins
BE Brandon Tate
BE Jarius Wright
BE Jake Locker
BE Perry Riley
BE A.J. Hawk
BE Tyler Wilson
BE Ben Tate
BE Montee Ball
BE Christine Michael
BE Ryan Williams
BE Zac Stacy
BE Andre Ellington
BE Tashard Choice
BE Jacoby Jones
BE Josh Gordon
BE Travis Benjamin
BE Josh Cribbs


SwEEdish Fish MafÆŽÆŽa
QB Aaron Rodgers
RB Darren Sproles
RB Trent Richardson
RB/WR Ronnie Hillman
WR Lance Moore
WR Denarius Moore
WR/TE Torrey Smith
TE Rob Housler
OP Vick Ballard
LB Derrick Johnson
DL Jason Pierre-Paul
DB Devin McCourty
DP Jerod Mayo
DP NaVorro Bowman
K Phil Dawson
BE Mikel Leshoure
BE Robert Turbin
BE Danny Amendola
BE Michael Crabtree
BE Brian Quick
BE Keshawn Martin
BE Chris Givens
BE James Jones
BE Charles Tillman
BE Tyrann Mathieu
BE Ezekiel Ansah
BE Josh Freeman
BE Sam Bradford
BE Vince Young
BE Mike Glennon
BE Ahmad Bradshaw
BE Daniel Thomas
BE Stepfan Taylor
BE Latavius Murray
BE Zach Miller


Oregon Duckie Dynasty
QB Joe Flacco
RB Danny Woodhead
RB Jacquizz Rodgers
RB/WR Doug Martin
WR Randall Cobb
WR Michael Floyd
WR/TE Vincent Jackson
TE Martellus Bennett
OP Eli Manning
LB James Laurinaitis
DL Michael Johnson
DB Tyvon Branch
DP Tim Jennings
DP Wesley Woodyard
K Justin Tucker
BE Ryan Tannehill
BE Brandon Weeden
BE Lamar Miller
BE Vernon Davis
BE Brian Orakpo
BE Jason Babin
BE Jon Bostic
BE Kiko Alonso
BE Rob Ninkovich
BE Tony Romo
BE Matt Forte
BE LaMichael James
BE Kendall Hunter
BE LaRod Stephens-Howling
BE Marcel Reece
BE Kenbrell Thompkins
BE Jerome Simpson
BE Marlon Brown
BE Tavarres King


Kandi's Great Xscape
QB Alex Smith
RB Mike Goodson
RB Jamaal Charles
RB/WR Darren McFadden
WR Steve Smith
WR Cecil Shorts
WR/TE Jermaine Gresham
TE Jared Cook
OP Michael Vick
LB Sean Lee
DL Robert Quinn
DB D.J. Swearinger
DP Darius Slay
DP Desmond Trufant
K David Akers
BE Brian Cushing
BE Andre Brown
BE Johnathan Franklin
BE Denard Robinson
BE Jonathan Stewart
BE Mike James
BE Zach Sudfeld
BE Vance McDonald
BE Gavin Escobar
BE Mike Williams
BE Anquan Boldin
BE Cordarrelle Patterson
BE Tavon Austin
BE Brian Hartline
BE Stephen Hill
BE Aaron Dobson
BE Markus Wheaton
BE Ace Sanders
BE Jeremy Kerley
BE Josh Boyce


Fiberglass Cotton Candy
QB Cam Newton
RB Reggie Bush
RB Chris Rainey
RB/WR LeSean McCoy
WR A.J. Green
WR Andre Johnson
WR/TE James Hanna
TE Kyle Rudolph
OP Ryan Mallett
LB Sean Weatherspoon
DL Mario Williams
DB Kam Chancellor
DP Richard Sherman
DP Cortland Finnegan
K Mason Crosby
BE Terrelle Pryor
BE Micah Hyde
BE Xavier Rhodes
BE Greg Hardy
BE Dion Jordan
BE Lance Briggs
BE Arthur Brown
BE Karlos Dansby
BE Drew Brees
BE Ryan Fitzpatrick
BE Landry Jones
BE Isaac Redman
BE Fred Jackson
BE Leon Washington
BE Shaun Draughn
BE Brandon Myers
BE Dion Sims
BE Mike Wallace
BE Devin Hester
BE Kevin Ogletree


The Bolt and  the Beautiful
QB Andy Dalton
RB James Starks
RB BenJarvus Green-Ellis
RB/WR David Wilson
WR Jordy Nelson
WR Victor Cruz
WR/TE Coby Fleener
TE Dustin Keller
OP Jay Cutler
LB Courtney Upshaw
DL Geno Atkins
DB Leodis McKelvin
DP Lavonte David
DP Kenny Vaccaro
K Dan Bailey
BE Mohamed Sanu
BE Ryan Broyles
BE Vincent Brown
BE Rashad Jennings
BE Roman Harper
BE Calais Campbell
BE D'Qwell Jackson
BE Bruce Carter
BE Kevin Minter
BE Carson Palmer
BE Ray Rice
BE Chris Ivory
BE Jonathan Dwyer
BE Lance Dunbar
BE Kenjon Barner
BE Jermichael Finley
BE Brandon Pettigrew
BE Reggie Wayne
BE Golden Tate
BE Marquess Wilson


Butterscotch Fumbles
QB Mark Sanchez
RB Shane Vereen
RB Michael Bush
RB/WR Bernard Pierce
WR Nate Washington
WR Justin Blackmon
WR/TE Ed Dickson
TE Jacob Tamme
OP Philip Rivers
LB Luke Kuechly
DL J.J. Watt
DB Eric Berry
DP Charles Woodson
DP John Cyprien
K Randy Bullock
BE Bryce Brown
BE Cyrus Gray
BE Dwayne Allen
BE Rueben Randle
BE Doug Baldwin
BE T.Y. Hilton
BE Cliff Avril
BE Von Miller
BE Jason Campbell
BE C.J. Spiller
BE Knile Davis
BE Mike Gillislee
BE Jimmy Graham
BE Lance Kendricks
BE Eric Decker
BE Percy Harvin
BE Riley Cooper
BE Quinton Patton
BE Davone Bess


MATTY LicorICE FTW
QB Matt Ryan
RB Arian Foster
RB Steven Jackson
RB/WR Ryan Mathews
WR Roddy White
WR Wes Welker
WR/TE Jordan Cameron
TE Owen Daniels
OP Colin Kaepernick
LB Mason Foster
DL Charles Johnson
DB Jairus Byrd
DP Whitney Mercilus
DP Lawrence Timmons
K Matt Prater
BE Blaine Gabbert
BE Fred Davis
BE Jason McCourty
BE Javier Arenas
BE Chris Long
BE Datone Jones
BE Chad Henne
BE Felix Jones
BE Mike Tolbert
BE LeGarrette Blount
BE Cierre Wood
BE Deji Karim
BE Lance Ball
BE Julius Thomas
BE Marques Colston
BE Kenny Stills
BE Justin Hunter
BE Josh Morgan
BE Lestar Jean
BE Marquise Goodwin


All My CharlestonChews
QB Ben Roethlisberger
RB DeMarco Murray
RB Shonn Greene
RB/WR Mark Ingram
WR Julio Jones
WR Alshon Jeffery
WR/TE Jon Baldwin
TE Tony Gonzalez
OP Christian Ponder
LB Dont'a Hightower
DL Osi Umenyiora
DB Harrison Smith
DP Anthony Spencer
DP Bobby Wagner
K Sebastian Janikowski
BE London Fletcher
BE Jerrell Freeman
BE EJ Manuel
BE Matt Barkley
BE Alfred Morris
BE Roy Helu
BE Giovani Bernard
BE Pierre Thomas
BE Joseph Randle
BE Marcus Lattimore
BE Michael Turner
BE Tyler Eifert
BE Zach Ertz
BE Dez Bryant
BE Dwayne Bowe


Helmet Dots Landing
QB Robert Griffin III
RB Adrian Peterson
RB Joe McKnight
RB/WR Jeff Demps
WR Calvin Johnson
WR Steve Johnson
WR/TE Demaryius Thomas
TE Rob Gronkowski
OP Russell Wilson
LB Paul Posluszny
DL Julius Peppers
DB Morgan Burnett
DP Danieal Manning
DP Cameron Jordan
K Stephen Gostkowski
BE Matt Flynn
BE Kirk Cousins
BE Chad Greenway
BE Jarvis Jones
BE Manti Te'o
BE Philip Wheeler
BE Tyler Bray
BE Tarvaris Jackson
BE Tim Tebow
BE Chris Johnson
BE Bilal Powell
BE DuJuan Harris
BE Marcus Thigpen
BE Brent Celek
BE Hakeem Nicks
BE Julian Edelman
BE Jeremy Maclin
BE Andre Roberts
BE Santonio Holmes


Game of  Toblerone
QB Matt Schaub
RB Stevan Ridley
RB Rashard Mendenhall
RB/WR Kendall Wright
WR Malcom Floyd
WR Sidney Rice
WR/TE Rod Streater
TE Jason Witten
OP Shaun Hill
LB Daryl Washington
DL Elvis Dumervil
DB Patrick Peterson
DP Mark Barron
DP Cameron Wake
K Blair Walsh
BE Barkevious Mingo
BE Patrick Willis
BE Curtis Lofton
BE Sio Moore
BE Matthew Stafford
BE Kevin Kolb
BE Marshawn Lynch
BE Daryl Richardson
BE Le'Veon Bell
BE Toby Gerhart
BE Heath Miller
BE Marcedes Lewis
BE Greg Jennings
BE DeAndre Hopkins
BE Robert Woods
BE Santana Moss
BE Donnie Avery
BE Nate Burleson
BE Brandon LaFell
BE Eric Reid


Bazooka Joe Flacco
QB Peyton Manning
RB Frank Gore
RB Isaiah Pead
RB/WR DeAngelo Williams
WR Brandon Marshall
WR Antonio Brown
WR/TE Antonio Gates
TE Greg Olsen
OP Andrew Luck
LB DeMarcus Ware
DL Justin Smith
DB Janoris Jenkins
DP Morris Claiborne
DP Stephon Gilmore
K Matt Bryant
BE Connor Barwin
BE Matt Elam
BE Aldon Smith
BE Vontaze Burfict
BE Alec Ogletree
BE Geno Smith
BE Matt Cassel
BE Eddie Lacy
BE Joique Bell
BE Knowshon Moreno
BE Travis Kelce
BE DeSean Jackson
BE Miles Austin
BE Keenan Allen
BE Greg Little
BE Terrance Williams
BE Jacoby Ford
BE Dexter McCluster
BE Stedman Bailey
BE Marvin Jones
