Patrick
QB 	Mark Sanchez
RB 	Darren Sproles
RB 	Frank Gore
RB/WR 	Doug Baldwin
WR 	A.J. Green
WR 	Sammy Watkins
WR/TE 	Eric Decker
TE 	Austin Seferian-Jenkins
OP 	John Brown
LB 	Chandler Jones
DB 	Adam Jones
DP 	Dont'a Hightower
DP 	Kenny Vaccaro
K 	Blair Walsh
BE 	Andre Johnson
BE 	Anquan Boldin
BE 	Breshad Perriman
BE 	Cody Kessler
BE 	Cole Beasley
BE 	Colt McCoy
BE 	Danny Amendola
BE 	DeSean Jackson
BE 	Jason Witten
BE 	Justin Forsett
BE 	Kendall Wright
BE 	Martavis Bryant
BE 	Matt Forte
BE 	Matthew Stafford
BE 	Paul Posluszny
BE 	Reggie Bush
BE 	Sam Bradford
BE 	Shane Vereen
BE 	Vontaze Burfict
BE 	Zach Ertz

Koci/Mueller
QB 	Andy Dalton
RB 	Doug Martin
RB 	Theo Riddick
RB/WR 	LeGarrette Blount
WR 	Allen Hurns
WR 	Rashad Greene
WR/TE 	Alshon Jeffery
TE 	Dwayne Allen
OP 	Jerick McKinnon
LB 	NaVorro Bowman
DL 	J.J. Watt
DB 	Malcolm Jenkins
DP 	Muhammad Wilkerson
DP 	TJ Carrie
K 	Stephen Gostkowski
BE 	Ryan Tannehill
BE 	Ka'Deem Carey
BE 	Travaris Cadet
BE 	AJ McCarron
BE 	Chris Thompson
BE 	Darren McFadden
BE 	Emmanuel Ogbah
BE 	Eric Weddle
BE 	Graham Gano
BE 	Jerrell Freeman
BE 	Jonathan Williams
BE 	Karlos Dansby
BE 	Kenjon Barner
BE 	Steven Jackson
BE 	Matt Moore
BE 	Robert Woods
BE 	Seth DeValve
BE 	Ted Ginn Jr.
BE 	Torrey Smith
BE 	Julio Jones

Syed/Terence
QB 	Brock Osweiler
RB 	David Johnson
RB 	Jeremy Langford
RB/WR 	Matt Jones
WR 	Brandin Cooks
WR 	Emmanuel Sanders
WR/TE 	Jordan Matthews
TE 	Jordan Reed
OP 	T.J. Yeldon
LB 	Kwon Alexander
DL 	Everson Griffen
DB 	Harrison Smith
DP 	Von Miller
DP 	Bobby Wagner
K 	Justin Tucker
BE 	Kamar Aiken
BE 	Martellus Bennett
BE 	Terrance Williams
BE 	Robert Griffin
BE 	Ty Montgomery
BE 	Geno Smith
BE 	Aaron Rodgers
BE 	Charles Johnson
BE 	Dak Prescott
BE 	DeAndre Hopkins
BE 	Dion Lewis
BE 	Ezekiel Elliott
BE 	Golden Tate
BE 	Jimmy Graham
BE 	Ladarius Green
BE 	Malcolm Mitchell
BE 	Rishard Matthews
BE 	Trevor Siemian
BE 	Vincent Jackson
BE 	Zach Zenner

John/Zach
QB 	Blake Bortles
RB 	LeSean McCoy
RB 	Melvin Gordon
RB/WR 	Duke Johnson Jr.
WR 	T.Y. Hilton
WR 	Rueben Randle
WR/TE 	Devin Smith
TE 	Eric Ebron
OP 	Danny Woodhead
LB 	DeAndre Levy
DL 	Robert Quinn
DB 	Antoine Bethea
DP 	Aaron Donald
DP 	Deone Bucannon
K 	Chandler Catanzaro
BE 	Tevin Coleman
BE 	Karlos Williams
BE 	Benjamin Cunningham
BE 	Alex Smith
BE 	Blaine Gabbert
BE 	Hunter Henry
BE 	Jason Pierre-Paul
BE 	Jeremy Maclin
BE 	Julius Thomas
BE 	Lamar Miller
BE 	Laquon Treadwell
BE 	Luke Kuechly
BE 	Markus Wheaton
BE 	Rob Gronkowski
BE 	Robbie Gould
BE 	Travis Benjamin
BE 	Will Fuller
BE 	Willie Snead

Trevor
QB 	Tom Brady
RB 	Isaiah Crowell
RB 	Bilal Powell
RB/WR 	C.J. Prosise
WR 	Brandon Marshall
WR 	Chris Conley
WR/TE 	Maxx Williams
TE 	Kyle Rudolph
OP 	Marcus Mariota
LB 	Telvin Smith
DL 	Mario Williams
DB 	Jalen Ramsey
DP 	Brandon Marshall
DP 	Stephone Anthony
K 	Brandon McManus
BE 	Kiko Alonso
BE 	Austin Hooper
BE 	C.J. Spiller
BE 	Chris Boswell
BE 	Chris Ivory
BE 	Christian Hackenberg
BE 	Cody Latimer
BE 	Danny Trevathan
BE 	Darron Lee
BE 	DeAngelo Williams
BE 	Josh Norman
BE 	Julian Edelman
BE 	Leonard Williams
BE 	Logan Ryan
BE 	Marcus Peters
BE 	Michael Bennett
BE 	Michael Crabtree
BE 	Pierre Garcon
BE 	Russell Wilson

Keyon
QB 	Carson Palmer
RB 	Todd Gurley
RB 	Carlos Hyde
RB/WR 	Michael Floyd
WR 	Odell Beckham Jr.
WR 	Allen Robinson
WR/TE 	Devin Funchess
TE 	Greg Olsen
OP 	Latavius Murray
LB 	Ryan Shazier
DB 	Corey Graham
DP 	Deion Jones
DP 	Malcolm Smith
K 	Cairo Santos
BE 	James Starks
BE 	Javorius Allen
BE 	Dorial Green-Beckham
BE 	Ryan Fitzpatrick
BE 	Brandon Coleman
BE 	Adrian Peterson
BE 	Antonio Gates
BE 	Devonta Freeman
BE 	Dwayne Harris
BE 	Paxton Lynch
BE 	Pharoh Cooper
BE 	Philip Rivers
BE 	Randall Cobb
BE 	Tajae Sharpe
BE 	Tyrann Mathieu

Brett/Luke
QB 	Joe Flacco
RB 	Alfred Morris
RB 	DeMarco Murray
RB/WR 	Bruce Ellington
WR 	DeVante Parker
WR 	Stefon Diggs
WR/TE 	Nelson Agholor
TE 	Jace Amaro
OP 	Jimmy Garoppolo
LB 	Lavonte David
DL 	Ezekiel Ansah
DB 	Landon Collins
DP 	C.J. Mosley
DP 	Frank Clark
K 	Dan Bailey
BE 	Paul Richardson
BE 	Owa Odighizuwa
BE 	Ben Roethlisberger
BE 	Braxton Miller
BE 	Case Keenum
BE 	Gary Barnidge
BE 	Jalin Marshall
BE 	Jeff Heuerman
BE 	Kenny Britt
BE 	Michael Thomas
BE 	Nick Vannett
BE 	Noah Spence
BE 	Patrick Peterson
BE 	Robert Nkemdiche
BE 	Steve Smith Sr.
BE 	Stephen Hauschka
BE 	Thomas Rawls
BE 	Tyrod Taylor
BE 	Victor Cruz
BE 	Virgil Green

Daniel
QB 	Derek Carr
RB 	C.J. Anderson
RB 	Mike Davis
RB/WR 	Sammie Coates
