Patrick
QB 	Kirk Cousins
RB 	Melvin Gordon
RB 	Todd Gurley
RB/WR 	Eric Decker
WR 	Doug Baldwin
WR 	Martavis Bryant
WR/TE 	Cole Beasley
TE 	Austin Seferian-Jenkins
OP 	Matthew Stafford
LB 	Vontaze Burfict
DL 	Cliff Avril
DB 	Adam Jones
DP 	Chandler Jones
DP 	Byron Jones
K 	Nick Novak
BE 	Breshad Perriman
BE 	Will Fuller V
BE 	Cody Kessler
BE 	Antonio Brown
BE 	C.J. Beathard
BE 	Dalvin Cook
BE 	DeSean Jackson
BE 	Evan Engram
BE 	Jermaine Kearse
BE 	Jesse James
BE 	Kenny Britt
BE 	Kevin White
BE 	LeSean McCoy
BE 	Mack Hollins
BE 	Paul Posluszny
BE 	Sam Bradford
BE 	Shane Vereen
BE 	Terrance West
BE 	Trey Flowers
BE 	Antonio Gates

Koci/Mueller
QB 	Andy Dalton
RB 	Theo Riddick
RB 	Darren McFadden
RB/WR 	Chris Thompson
WR 	Ted Ginn Jr.
WR 	Robert Woods
WR/TE 	Allen Hurns
TE 	Zach Ertz
OP 	Jonathan Williams
LB 	NaVorro Bowman
DL 	Emmanuel Ogbah
DB 	Eric Weddle
DP 	Jerrell Freeman
DP 	Malcolm Jenkins
K 	Stephen Gostkowski
BE 	Malcolm Mitchell
BE 	Matt Moore
BE 	AJ McCarron
BE 	Graham Gano
BE 	Adam Thielen
BE 	Alshon Jeffery
BE 	Chris Carson
BE 	Derrick Johnson
BE 	Devonta Freeman
BE 	Elijah Hood
BE 	Frank Gore
BE 	J.J. Watt
BE 	Jatavis Brown
BE 	Julio Jones
BE 	LeGarrette Blount
BE 	Marlon Mack
BE 	Mike Glennon
BE 	Mitchell Trubisky
BE 	Pierre Garcon
BE 	Rodney Adams

Syed/Terence
QB 	Aaron Rodgers
RB 	David Johnson
RB 	Ezekiel Elliott
RB/WR 	T.J. Yeldon
WR 	Brandin Cooks
WR 	Curtis Samuel
WR/TE 	Martellus Bennett
TE 	Jimmy Graham
OP 	Dak Prescott
LB 	Kwon Alexander
DL 	Everson Griffen
DB 	Adoree' Jackson
DP 	Bobby Wagner
DP 	Olivier Vernon
K 	Justin Tucker
BE 	Adam Shaheen
BE 	Brock Osweiler
BE 	Chad Henne
BE 	DeShone Kizer
BE 	Devante Mays
BE 	Dion Lewis
BE 	James White
BE 	John Ross
BE 	Kenny Golladay
BE 	Latavius Murray
BE 	Michael Floyd
BE 	Odell Beckham Jr.
BE 	Rex Burkhead
BE 	Robby Anderson
BE 	T.J. Ward
BE 	Tarik Cohen
BE 	Telvin Smith
BE 	Ty Montgomery
BE 	Tyrell Williams
BE 	Zach Cunningham

John/Zach
QB 	Blake Bortles
RB 	Lamar Miller
RB 	Danny Woodhead
RB/WR 	Tevin Coleman
WR 	T.Y. Hilton
WR 	Jeremy Maclin
WR/TE 	Jason Witten
TE 	Rob Gronkowski
OP 	Julius Thomas
LB 	Deone Bucannon
DL 	Jason Pierre-Paul
DB 	Antoine Bethea
K 	Chandler Catanzaro
BE 	Markus Wheaton
BE 	Laquon Treadwell
BE 	Wendell Smallwood
BE 	Travis Benjamin
BE 	Benny Cunningham
BE 	Justin Hardy
BE 	Danny Amendola
BE 	Leonte Carroo
BE 	Pharoh Cooper

Trevor
QB 	Marcus Mariota
RB 	Bilal Powell
RB 	C.J. Prosise
RB/WR 	Adrian Peterson
WR 	Michael Crabtree
WR 	Chris Conley
WR/TE 	Anquan Boldin
TE 	Austin Hooper
OP 	Christian Hackenberg
LB 	Brandon Marshall
DL 	Michael Bennett
DB 	Logan Ryan
DP 	Josh Norman
DP 	Jalen Ramsey
K 	Brandon McManus
BE 	C.J. Fiedorowicz
BE 	Calais Campbell
BE 	Chris Ivory
BE 	Cooper Kupp
BE 	D'Onta Foreman
BE 	Darren Sproles
BE 	Davante Adams
BE 	Dez Bryant
BE 	Eli Manning
BE 	Isaiah Crowell
BE 	Josh Malone
BE 	Julian Edelman
BE 	Kam Chancellor
BE 	Kyle Rudolph
BE 	Tom Brady
BE 	Vic Beasley Jr.
BE 	Zach Brown

Keyon
QB 	Philip Rivers
RB 	Duke Johnson Jr.
RB 	Kenneth Dixon
RB/WR 	Devin Funchess
WR 	Golden Tate
WR 	Willie Snead
WR/TE 	Amara Darboh
TE 	Hunter Henry
OP 	Trevor Siemian
LB 	Deion Jones
DB 	Malik Hooker
DP 	Haason Reddick
DP 	Jarrad Davis
K 	Dan Bailey
BE 	Paxton Lynch
BE 	Alvin Kamara
BE 	Cameron Brate
BE 	Cameron Meredith
BE 	Carlos Henderson
BE 	Chad Hansen
BE 	David Njoku
BE 	Dede Westbrook
BE 	Gerald Everett
BE 	Jimmy Garoppolo
BE 	Joe Williams
BE 	Jonnu Smith
BE 	Josh Reynolds
BE 	Joshua Dobbs
BE 	Kareem Hunt
BE 	Le'Veon Bell
BE 	Patrick Mahomes II
BE 	Reuben Foster
BE 	Taywan Taylor
BE 	Tony Jefferson

Brett/Luke
QB 	Tyrod Taylor
RB 	DeMarco Murray
RB 	Thomas Rawls
RB/WR 	DeVante Parker
WR 	Michael Thomas
WR 	Stefon Diggs
WR/TE 	Nelson Agholor
TE 	Virgil Green
OP 	Braxton Miller
LB 	Darron Lee
DL 	Noah Spence
DB 	Landon Collins
DP 	Patrick Peterson
DP 	Robert Nkemdiche
K 	Cairo Santos
BE 	Alfred Morris
BE 	Jalin Marshall
BE 	Jeff Heuerman
BE 	Nick Vannett
BE 	Ben Roethlisberger
BE 	Chris Godwin
BE 	Deshaun Watson
BE 	Jake Butt
BE 	Jamal Adams
BE 	Joe Flacco
BE 	O.J. Howard
BE 	Robert Kelley
BE 	Taco Charlton
BE 	Takkarist McKinley

Daniel
QB 	Matt Ryan
RB 	Kenyan Drake
RB 	Tyler Ervin
RB/WR 	A.J. Green
WR 	Mike Wallace
WR 	Kenny Stills
WR/TE 	Chris Hogan
TE 	Charles Clay
OP 	Connor Cook
LB 	Lavonte David
DL 	Aaron Donald
DB 	Reshad Jones
DP 	Cameron Jordan
DP 	Carlos Dunlap
K 	Adam Vinatieri
BE 	Jacoby Brissett
BE 	C.J. Anderson
BE 	Christian McCaffrey
BE 	DeAndre Hopkins
BE 	Donte Moncrief
BE 	Eric Berry
BE 	Ezekiel Ansah
BE 	Giovani Bernard
BE 	Jamaal Charles
BE 	Jamaal Williams
BE 	James Conner
BE 	Jarvis Landry
BE 	Jay Cutler
BE 	Joe Mixon
BE 	JuJu Smith-Schuster
BE 	Kurt Coleman
BE 	Sean Lee
BE 	Tom Savage
BE 	Tyler Eifert
BE 	De'Angelo Henderson

James/Charles
QB 	EJ Manuel
RB 	Mark Ingram
RB 	Derrick Henry
RB/WR 	Larry Fitzgerald
WR 	Demaryius Thomas
WR 	Terrelle Pryor Sr.
WR/TE 	Jack Doyle
TE 	Eric Ebron
OP 	Brian Hoyer
LB 	Alex Anzalone
DL 	Danielle Hunter
DB 	Barry Church
DP 	Reggie Nelson
DP 	C.J. Mosley
K 	Matt Prater
BE 	Charles Sims
BE 	Derek Barnett
BE 	Derek Carr
BE 	Donnel Pumphrey
BE 	Jalen Richard
BE 	Jeremy Hill
BE 	John Brown
BE 	Jordan Matthews
BE 	Kenny Vaccaro
BE 	Malachi Dupre
BE 	Marquel Lee
BE 	Matt Barkley
BE 	Melvin Ingram
BE 	Randall Cobb
BE 	Rishard Matthews
BE 	Ryan Shazier
BE 	Ryan Tannehill
BE 	Tre'Davious White
BE 	Wayne Gallman

Schex/Jeff
QB 	Jared Goff
RB 	Jay Ajayi
RB 	Paul Perkins
RB/WR 	Jamison Crowder
WR 	Jordy Nelson
WR 	Amari Cooper
WR/TE 	Zach Miller
TE 	Jared Cook
OP 	Josh McCown
LB 	Jamie Collins
DL 	Fletcher Cox
DB 	Morgan Burnett
DP 	Thomas Davis
DP 	Keanu Neal
K 	Caleb Sturgis
BE 	Cameron Artis-Payne
BE 	Aaron Jones
BE 	Alex Smith
BE 	ArDarius Stewart
BE 	Brandon Marshall
BE 	Chad Williams
BE 	Drew Brees
BE 	Elijah McGuire
BE 	Greg Olsen
BE 	Jacquizz Rodgers
BE 	Jaron Brown
BE 	Jordan Reed
BE 	Kelvin Benjamin
BE 	Lorenzo Alexander
BE 	Nathan Peterman
BE 	Robert Turbin
BE 	Russell Wilson
BE 	Spencer Ware
BE 	T.J. Watt
BE 	Tim Hightower

Quinn
QB 	Carson Wentz
RB 	Jordan Howard
RB 	Ameer Abdullah
RB/WR 	Tyler Lockett
WR 	Corey Coleman
WR 	Josh Doctson
WR/TE 	Tavon Austin
TE 	Coby Fleener
OP 	Charone Peake
LB 	Jordan Hicks
DL 	Joey Bosa
DB 	Johnathan Cyprien
DP 	Alec Ogletree
DP 	Benardrick McKinney
K 	Mason Crosby
BE 	Allen Robinson
BE 	Brian Hill
BE 	Cam Newton
BE 	Carlos Hyde
BE 	Carson Palmer
BE 	Christian Kirksey
BE 	Davis Webb
BE 	Delanie Walker
BE 	Doug Martin
BE 	Eddie Lacy
BE 	Jeremy McNichols
BE 	Justin Blackmon
BE 	Marqise Lee
BE 	Marshawn Lynch
BE 	Ryan Switzer
BE 	Samaje Perine
BE 	Solomon Thomas
BE 	Emmanuel Sanders
BE 	Sammy Watkins
BE 	Mike Gillislee

Mitch
QB 	Andrew Luck
RB 	DeAndre Washington
RB 	Damien Williams
RB/WR 	Tyler Boyd
WR 	Keenan Allen
WR 	Sterling Shepard
WR/TE 	Corey Davis
TE 	Travis Kelce
OP 	Jameis Winston
LB 	Myles Jack
DL 	Khalil Mack
DB 	Karl Joseph
DP 	Eric Kendricks
DP 	Jabrill Peppers
K 	Matt Bryant
BE 	Devontae Booker
BE 	Jonathan Stewart
BE 	Kendall Wright
BE 	Leonard Fournette
BE 	Luke Kuechly
BE 	Marvin Jones
BE 	Matt Forte
BE 	Mike Evans
BE 	Mike Williams
BE 	Myles Garrett
BE 	Scott Tolzien
BE 	Von Miller
BE 	Zay Jones
BE 	Jadeveon Clowney
