"Player","Team","Position","Type","Team","Bid","Pr","Grp/Max","Date (PST)","Week"
"Marcus Mariota","LV","QB","Drop","(Trevor) The Greenbay Packers","","1","1/99","Wed Dec 23, 2020, 8:05PM","16"
"Salvon Ahmed","MIA","RB","Claim","(Keyon) Quon T. Hill and the Zits","1.00","1","1/99","Sat Dec 19, 2020, 9:00AM","15"
"Marcus Mariota","LV","QB","Claim","(Trevor) The Greenbay Packers","1.00","1","1/99","Sat Dec 19, 2020, 9:00AM","16"
"Olivier Vernon","CLE","DL","Claim","(pat) Crucifictorious Maids","1.00","4","1/99","Fri Dec 18, 2020, 9:00AM","15"
"DeSean Jackson","PHI","WR","Drop","(pat) Crucifictorious Maids","","4","1/99","Fri Dec 18, 2020, 9:00AM","15"
"Matt Gay","IND/LAR","K","Claim","(pat) Crucifictorious Maids","1.00","1","1/99","Fri Dec 18, 2020, 9:00AM","15"
"Brandon McManus","DEN","K","Drop","(pat) Crucifictorious Maids","","1","1/99","Fri Dec 18, 2020, 9:00AM","15"
"Chase Daniel","DET","QB","Claim","(Keyon) Quon T. Hill and the Zits","40.00","1","1/99","Thu Dec 17, 2020, 9:00AM","15"
"Raheem Mostert","SF","RB","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Dec 17, 2020, 9:00AM","15"
"Evan Engram","NYG","TE","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Thu Dec 17, 2020, 8:59AM","15"
"Avery Williamson","NYJ/PIT","LB","Claim","(pat) Crucifictorious Maids","3.00","1","1/99","Sun Dec 13, 2020, 9:00AM","14"
"LeSean McCoy","TB","RB","Drop","(pat) Crucifictorious Maids","","1","1/99","Sun Dec 13, 2020, 9:00AM","14"
"Harvey Langi","NYJ","LB","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Sat Dec 12, 2020, 9:00AM","14"
"Tevin Coleman","SF","RB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Sat Dec 12, 2020, 9:00AM","14"
"Jordan Akins","HOU","TE","Drop","(Keyon) Quon T. Hill and the Zits","","1","1/99","Wed Dec 9, 2020, 8:05PM","14"
"Neville Hewitt","NYJ","LB","Claim","(Keyon) Quon T. Hill and the Zits","3.00","1","1/99","Wed Dec 9, 2020, 8:05PM","14"
"Troy Hill","LAR","DB","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Wed Dec 9, 2020, 8:05PM","14"
"Neville Hewitt","NYJ","LB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Thu Dec 10, 2020, 11:52AM","14"
"Jason Myers","SEA","K","Claim","(REYN) Sex Bob-omb and the City","1.00","1","1/99","Thu Dec 10, 2020, 9:00AM","14"
"Travis Fulgham","PHI","WR","Drop","(REYN) Sex Bob-omb and the City","","1","1/99","Thu Dec 10, 2020, 9:00AM","14"
"Neville Hewitt","NYJ","LB","Claim","(SCHX) Onederlic Life to Live","18.00","1","1/99","Thu Dec 10, 2020, 9:00AM","14"
"Troy Hill","LAR","DB","Drop","(SCHX) Onederlic Life to Live","","1","1/99","Thu Dec 10, 2020, 9:00AM","14"
"Tyler Bass","BUF","K","Claim","(QTM) Tyler Dethklokett","1.00","1","1/99","Sat Dec 5, 2020, 9:00AM","13"
"Jake Elliott","PHI","K","Drop","(QTM) Tyler Dethklokett","","1","1/99","Sat Dec 5, 2020, 9:00AM","13"
"Troy Reeder","LAR","LB","Claim","(SCHX) Onederlic Life to Live","1.00","1","1/99","Sat Dec 5, 2020, 9:00AM","13"
