Owner	Name	Position	Start	End	Last	Cut	Now	2025	2026	2027
Jason	Bryant Johnson	WR	2008	2010	$2	2009	$1	$0	$0	$0
Jason	Ernest Wilford	WR	2008	2010	$2	2009	$1	$0	$0	$0
Mike	Drew Bennett	WR	2009	2009	$1	2009	$1	$0	$0	$0
Keyon	L.J. Smith	TE	2008	2010	$3	2009	$2	$0	$0	$0
Patrick	B.J. Raji	DL	2009	2009	$3	2009	$1	$0	$0	$0
Patrick	Ronald Curry	WR	2009	2009	$1	2009	$1	$0	$0	$0
Patrick	Roy Miller	DL	2009	2009	$2	2009	$1	$0	$0	$0
Patrick	Vontae Davis	DB	2009	2009	$7	2009	$2	$0	$0	$0
Anthony	Greg Ellis	DL	2009	2009	$2	2009	$1	$0	$0	$0
Keyon	Chris Perry	RB	2008	2010	$3	2009	$2	$0	$0	$0
Koci/Mueller	Sammy Morris	RB	2009	2009	$12	2009	$4	$0	$0	$0
Brett	David Buehler	K	2009	2009	$3	2009	$1	$0	$0	$0
Brett	Jarett Dillard	WR	2009	2009	$14	2009	$5	$0	$0	$0
Jason	Terrence McGee	DB	2009	2009	$35	2009	$14	$0	$0	$0
Koci/Mueller	Devin Thomas	WR	2008	2010	$4	2009	$2	$0	$0	$0
Luke	J.J. Arrington	RB	2009	2011	$1	2009	$1	$0	$0	$0
Jason	Antonio Smith	DL	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Keith Bulluck	LB	2009	2009	$1	2009	$1	$0	$0	$0
Anthony	Chris Chambers	WR	2009	2009	$14	2009	$5	$0	$0	$0
Luke	BenJarvus Green-Ellis	RB	2009	2010	$1	2009	$1	$0	$0	$0
Luke	Matthew Slater	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Stephen Hauschka	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Bernard Scott	RB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Davone Bess	WR	2009	2011	$4	2009	$1	$0	$0	$0
Luke	Derek Stanley	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Kevin Ogletree	WR	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Rob Bironas	K	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Antwan Odom	DL	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Domenik Hixon	WR	2009	2010	$30	2009	$12	$0	$0	$0
Anthony	Neil Rackers	K	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Chansi Stuckey	WR	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Cortland Finnegan	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Danny Ware	RB	2009	2011	$4	2009	$1	$0	$0	$0
Luke	Akeem Jordan	LB	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Marc Bulger	QB	2009	2009	$3	2009	$1	$0	$0	$0
Keyon	Javon Ringer	RB	2009	2009	$1	2009	$1	$0	$0	$0
Luke	Jonathan Vilma	LB	2009	2011	$1	2009	$1	$0	$0	$0
Luke	Ryan Mouton	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Aaron Brown	RB	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Leodis McKelvin	DB	2009	2011	$35	2009	$14	$0	$0	$0
Koci/Mueller	Chaz Schilens	WR	2009	2011	$1	2009	$1	$0	$0	$0
Anthony	Will Blackmon	DB	2009	2010	$45	2009	$18	$0	$0	$0
Anthony	LaMarr Woodley	DL/LB	2009	2011	$14	2009	$5	$0	$0	$0
Jason	Stephen Cooper	LB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Neil Rackers	K	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Zach Miller (OAK)	TE	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Connor Barwin	DL	2009	2011	$5	2009	$2	$0	$0	$0
Patrick	Adam Vinatieri	K	2009	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	JaMarcus Russell	QB	2009	2011	$14	2009	$5	$0	$0	$0
Luke	Joe Nedney	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Chris Hope	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Earnest Graham	RB	2009	2010	$8	2009	$3	$0	$0	$0
Anthony	Terrence McGee	DB	FA	2009	$14	2009	$5	$0	$0	$0
Anthony	Ellis Hobbs	DB	2008	2010	$16	2009	$11	$0	$0	$0
Anthony	Jake Delhomme	QB	2009	2009	$5	2009	$2	$0	$0	$0
Patrick	Sammy Morris	RB	FA	2009	$4	2009	$1	$0	$0	$0
Luke	Clifton Smith	RB	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Robbie Gould	K	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	D'Qwell Jackson	LB	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Joey Galloway	WR	2009	2009	$2	2009	$1	$0	$0	$0
Keyon	Antwan Odom	DL	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Malcolm Kelly	WR	2009	2011	$1	2009	$1	$0	$0	$0
Anthony	Tramon Williams	DB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Jordy Nelson	WR	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Shaun Hill	QB	2009	2011	$1	2009	$1	$0	$0	$0
Justin	Larry Johnson	RB	2009	2009	$55	2009	$22	$0	$0	$0
Justin	Mewelde Moore	RB	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Brian Witherspoon	DB	2009	2011	$1	2009	$1	$0	$0	$0
Patrick	Dennis Northcutt	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	London Fletcher	LB	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Olindo Mare	K	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Greg Ellis	DL	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Lofa Tatupu	LB	2009	2011	$8	2009	$3	$0	$0	$0
Jason	Darrelle Revis	DB	FA	2009	$1	2009	$1	$0	$0	$0
Justin	Rian Lindell	K	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Rashied Davis	WR	2009	2011	$1	2009	$1	$0	$0	$0
Anthony	Jeff Reed	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Bryant Johnson	WR	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Le'Ron McClain	RB	FA	2009	$1	2009	$1	$0	$0	$0
Jason	Mathias Kiwanuka	DL	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Thomas DeCoud	DB	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Byron Leftwich	QB	FA	2009	$1	2009	$1	$0	$0	$0
Schexes	Josh Scobee	K	FA	2009	$1	2009	$1	$0	$0	$0
Justin	Richard Seymour	DL	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Ahman Green	RB	FA	2009	$1	2009	$1	$0	$0	$0
Brett	Ryan Moats	RB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Terrell Suggs	DL/LB	2009	2009	$18	2009	$7	$0	$0	$0
Koci/Mueller	Chris Carr	DB	2009	2009	$5	2009	$2	$0	$0	$0
Koci/Mueller	Allen Rossum	DB	2009	2009	$11	2009	$4	$0	$0	$0
Brett	Ryan Denney	DL	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Nick Folk	K	FA	2009	$1	2009	$1	$0	$0	$0
Anthony	Calvin Pace	DL	FA	2009	$1	2009	$1	$0	$0	$0
Brett	Darren Howard	DL	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Clifton Smith	RB	FA	2009	$1	2009	$1	$0	$0	$0
Keyon	Marc Bulger	QB	FA	2009	$1	2009	$1	$0	$0	$0
Koci/Mueller	Bernard Berrian	WR	2008	2010	$4	2009	$2	$0	$0	$0
Luke	Sam Aiken	WR	FA	2009	$1	2009	$1	$0	$0	$0
Luke	Dan Carpenter	K	FA	2009	$1	2009	$1	$0	$0	$0
Patrick	Trent Edwards	QB	2009	2011	$8	2009	$3	$0	$0	$0
