"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","Score","%D","ADP","GP","FG%","3PTM","FTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*04kj6*","Luka Doncic","LAL","PG,SG,G","1","RMK","26","GS Tue 7:00PM","305","23/24","100","100","3.5","70",".486","273.4","456.1",".787","2287.8","647.5","683.5","100.7","36","280.6"
"*05qug*","Anthony Edwards","MIN","SG,G,SF","2","Luke","24","","230","23/25","99.42","100","7.1","80",".458","196.8","411.2",".828","2096","456","424","104","48","248"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,G","3","Li'lSeb","27","HOU Tue 4:30PM","285","TBA","98.89","100","3.4","75",".531","99.2","534.1",".866","2181.7","410.8","453.3","155.8","63.8","162.9"
"*03e75*","Nikola Jokic","DEN","C","4","Luke","30","","301","23/25","98.27","100","1.3","75",".579","79.5","348",".824","2032.5","967.5","682.5","97.5","67.5","232.5"
"*06cch*","Victor Wembanyama","SA","C","5","Li'lSeb","21","","40","23/25","97.73","100","2.6","65",".470","127.1","279.3",".793","1455.3","733.2","285.5","84","240.7","246.3"
"*0011e*","LeBron James","LAL","SF,PF","6","RMK","40","GS Tue 7:00PM","80","TBA","96.27","100","19.5","70",".537","145","281.1",".751","1735.4","503.6","585.3","81.7","40.8","231.4"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G","7","pat","29","","18","23/25","95.93","100","19.3","70",".458","214.3","303.5",".858","1661.9","327.3","391.4","115.5","38.5","186.1"
"*04qrj*","Jaren Jackson","MEM","PF,C","8","Justin","26","","70","TBA","95.83","100","30.3","70",".445","124.4","342.8",".799","1574.2","385.8","174.2","87.1","112","168"
"*05uie*","Scottie Barnes","TOR","SF,PF","9","Justin","24","","155","TBA","95.41","100","25","70",".473","100.7","218.2",".787","1283.3","545.4","404.3","83.4","96.3","179.7"
"*01eo6*","James Harden","LAC","PG,SG,G","10","Mitch","36","","162","TBA","95.34","100","12.2","75",".423","194.7","307",".881","1254.2","401","663.5","80.2","58.3","196.9"
"*031m2*","Giannis Antetokounmpo","MIL","PF,C","11","Li'lSeb","30","","225","TBA","95.16","100","4.4","70",".610","37.4","471.6",".651","2089.3","816.7","456","81.7","74.9","238.2"
"*049kb*","DeAaron Fox","SA","PG,SG,G","12","pat","27","","125","22/24","94.16","100","56.8","70",".461","192.5","277.9",".741","1813","329","392","140","28","182"
"*001aw*","Kevin Durant","HOU","PF","13","Mike","37","@OKC Tue 4:30PM","225","23/24","94.07","100","17.1","65",".524","137.8","271.1",".850","1624.1","410.8","297","56.9","75.8","202.2"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G","14","Justin","24","","110","23/25","93.41","100","21.1","65",".448","192.8","295",".872","1681","240.1","404.8","68.6","34.3","109.8"
"*04ewt*","Derrick White","BOS","PG,SG,G","15","Justin","31","","69","TBA","93.02","100","39.5","75",".460","205.6","136.1",".900","1155","330","419.4","75.6","89.4","116.9"
"*05uiq*","Alperen Sengun","HOU","C","16","Joel","23","@OKC Tue 4:30PM","90","TBA","93.01","100","22.2","75",".538","39.9","284.6",".681","1581.3","715","378.1","89.4","55","199.4"
"*03lls*","Jaylen Brown","BOS","SG,G,SF","17","Charles","28","","130","23/25","92.73","100","35.6","70",".503","150.7","208.3",".691","1632.9","390.1","244.6","85.9","39.7","165.3"
