ID,Name,Max,Age,Pos,Team,Injury,2023 GP,2023 Pts,2024 GP,2024 Pts,2025 GP,2025 Pts,2026 GP,2026 Pts,ADP,Round,Notes
1721,Erling Haaland,350,26,F,MCI,,31,468.5,31,418.0,35,507.0,38,458.3,2,1,
2410,Bukayo Saka,250,24,M,ARS,,35,512.8,25,307.0,31,350.5,38,446.5,4,1,
1213,Bruno Fernandes,360,,M,MUN,,35,480.0,36,438.5,35,547.5,38,437.0,1,1,
1823,Antoine Semenyo,220,26,F,MCI,,33,267.0,37,399.5,37,419.8,38,381.3,3,1,
8339,Rayan Cherki,150,22,M,MCI,,,,,,33,304.0,38,359.5,9,1,
1874,Virgil van Dijk,180,35,D,LIV,,36,351.0,37,366.0,38,416.3,38,352.8,30,1,
2074,João Pedro,200,24,F,CHE,,31,283.3,27,263.0,35,347.8,38,348.8,7,1,
1102,Ollie Watkins,180,,F,AVL,,37,450.8,38,342.0,37,313.8,38,330.3,25,1,
1922,Cole Palmer,250,24,M,CHE,,34,528.3,37,503.0,26,207.5,38,309.0,20,1,"injured last year, but b2b 500 pt seasons before that"
2403,Declan Rice,150,27,M,ARS,,38,364.0,35,285.5,36,338.5,38,298.0,10,1,
1712,Phil Foden,50,26,M,MCI,,35,497.0,28,204.5,33,258.5,38,47.0,41,1,
2406,Gabriel Martinelli,10,25,M,ARS,,35,268.8,33,277.5,30,105.5,38,47.0,29,1,"Role unclear, may be sold?"
4864,Florian Wirtz,,23,M,LIV,,,,,,33,261.5,38,383.5,5,2,
13386,Rayan,,20,F,BOU,,,,,,15,136.5,38,354.5,23,2,
1865,Dominik Szoboszlai,,25,M,LIV,,33,221.5,36,281.0,36,370.0,38,350.5,6,2,
3667,Igor Thiago,200,25,F,BRE,,,,8,14.3,38,435.0,38,315.0,31,2,
2415,Martin Ødegaard,,27,M,ARS,,35,406.5,30,244.5,24,148.5,38,307.5,13,2,
1719,Josko Gvardiol,,24,D,MCI,,28,261.5,37,350.8,18,154.3,38,297.3,62,2,
5354,Mathys Tel,,21,F,TOT,,,,13,86.5,31,162.5,38,296.0,43,2,
1091,Morgan Rogers,,,M,CHE,,11,71.5,37,311.0,37,311.5,38,295.0,19,2,
3885,Nico O'Reilly,,21,D,MCI,,,,9,47.5,34,241.0,38,255.8,54,2,
2399,David Raya,,30,GK,ARS,,32,221.3,38,280.8,37,282.8,38,184.0,100,2,
1806,Elliot Anderson,,23,M,MCI,,21,93.0,37,254.5,38,354.5,38,65.0,8,2,
2526,Matheus Cunha,,27,F,MUN,GTD,32,340.5,33,437.3,33,312.0,38,367.5,11,,
1781,Bruno Guimarães,,28,M,ARS,,37,383.0,38,286.5,29,293.0,38,353.0,18,,
1716,Jérémy Doku,,24,M,MCI,,29,291.5,29,250.5,30,309.5,38,343.0,12,,
2164,Daniel Muñoz,,30,D,CRY,,16,164.5,37,421.5,29,296.3,38,342.5,17,,
1993,James Tarkowski,,33,D,EVE,,38,421.5,33,338.8,37,416.0,38,333.0,48,,
7571,Anton Stach,,27,M,LEE,,,,,,29,297.5,38,333.0,16,,
1862,Cody Gakpo,,27,F,LIV,,35,259.3,35,282.5,36,301.8,38,332.0,14,,
1011,Morgan Gibbs-White,,,M,NFO,,37,364.5,34,314.0,37,377.5,38,329.0,18,,
2160,Mohammed Kudus,,26,M,TOT,GTD,33,339.0,32,249.5,19,173.0,38,328.0,27,,
13503,Nilson Angulo,,23,F,SUN,,,,,,8,31.3,38,322.0,219,,
1772,Sven Botman,,26,D,NEW,,17,111.0,8,54.8,25,220.3,38,320.5,84,,
1786,Alexander Isak,,26,F,LIV,,30,373.0,34,443.3,14,58.8,38,319.3,21,,
10495,Enzo Le Fée,,26,M,SUN,,,,,,36,296.0,38,318.0,26,,
2193,Jean-Philippe Mateta,,29,F,CRY,,35,319.5,37,301.5,32,244.0,38,316.5,34,,
1963,Bryan Mbeumo,,27,F,MUN,,25,254.0,38,531.0,33,296.0,38,316.3,32,,
1269,William Osula,,,F,NEW,,21,25.3,14,21.3,24,111.0,38,308.3,74,,
2067,Kaoru Mitoma,,29,M,BHA,GTD,19,164.5,36,336.5,25,153.0,38,307.5,45,,
2408,Gabriel Magalhães,,28,D,ARS,,36,314.3,28,238.8,32,383.8,38,303.3,49,,
5210,Malick Thiaw,,25,D,NEW,,,,,,35,310.5,38,300.8,114,,
1882,Enzo Fernández,,25,M,CHE,,28,188.5,36,333.0,36,323.5,38,298.5,22,,
1962,Mikkel Damsgaard,,26,M,BRE,,23,73.0,38,316.0,33,240.0,38,298.5,28,,
3778,Iliman Ndiaye,,26,F,EVE,,,,33,253.8,32,276.3,38,298.3,33,,
4884,Nordi Mukiele,,28,D,SUN,GTD,,,,,32,325.0,38,298.0,79,,
10511,Dan Ballard,,26,D,SUN,,,,,,29,263.8,38,293.5,85,,
1274,Oliver McBurnie,,,F,HUL,,21,173.0,,,,,38,293.3,595,,
5979,Daizen Maeda,,28,F,IPS,,,,,,,,38,292.5,999,,
1663,Antonee Robinson,,29,D,FUL,,37,339.8,36,388.3,22,156.3,38,291.8,63,,
4482,Nick Woltemade,,24,F,NEW,,,,,,33,177.8,38,291.3,36,,
1830,Marcus Tavernier,,27,M,BOU,,30,231.0,29,216.0,34,299.0,38,291.0,38,,
1834,Dango Ouattara,,24,M,BRE,,30,155.3,32,290.5,32,251.0,38,289.5,65,,
1919,Reece James,,26,D,CHE,,10,42.8,19,105.3,29,253.3,38,289.3,55,,
1836,Dominic Solanke,,28,F,TOT,GTD,38,399.8,27,209.3,15,93.8,38,286.3,51,,
1827,James Hill,,24,D,BOU,,5,11.5,10,47.3,29,280.0,38,285.0,59,,
2183,Marc Guéhi,,26,D,MCI,,25,116.5,34,269.0,35,384.0,38,284.0,82,,
14896,Bobby Thomas,,25,D,COV,,,,,,,,38,284.0,569,,
1789,Lewis Hall,,21,D,NEW,GTD,18,57.3,27,226.8,30,194.8,38,283.8,95,,
14900,Jack Rudoni,,25,M,COV,GTD,,,,,,,38,282.5,531,,
1120,Emiliano Buendía,,,M,AVL,,,,12,5.0,36,178.0,38,280.0,46,,
3950,Riccardo Calafiori,,24,D,ARS,,,,19,104.5,26,227.0,38,278.8,230,,
8744,Jérémy Jacquet,,21,D,LIV,GTD,,,,,,,38,277.8,216,,
5693,Kevin,,23,F,FUL,,,,,,26,125.5,38,276.8,215,,
2520,Pedro Neto,,26,M,CHE,,20,208.5,35,249.5,34,267.5,38,276.0,44,,
2413,Jurriën Timber,,25,D,ARS,Out,2,-0.3,30,207.8,30,296.3,38,273.3,72,,
3330,Óscar Mingueza,,27,D,CRY,,,,,,,,38,273.3,238,,
